regime,method,obstacle_prob,grid_size,max_offset,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
low_obstacle,uniform,0.14,11,5,0,0.8985327781508736,0.39639141070449396,0.33198601213104867,0.3137333795353207,0.39639141070449396
low_obstacle,uniform,0.14,11,5,1,0.8943460875896007,0.3963557986701493,0.3290356589499679,0.3111504939041253,0.3963557986701493
low_obstacle,uniform,0.14,11,5,2,0.8969078914941986,0.3964995403493497,0.33186749943550486,0.31341381720716566,0.3964995403493497
low_obstacle,uniform,0.14,11,5,3,0.8932134585169745,0.39837246543039617,0.3320459349953384,0.31627554782980727,0.39837246543039617
low_obstacle,uniform,0.14,11,5,4,0.90125921292289,0.4018174556819179,0.33630712029912013,0.3180576928636975,0.4018174556819179
low_obstacle,uniform,0.14,11,5,5,0.8910803351760144,0.39740801270211484,0.33232031527666755,0.31462290564725665,0.39740801270211484
low_obstacle,uniform,0.14,11,5,6,0.8956754035576798,0.3979368024669224,0.3345098244048248,0.31435594454212445,0.3979368024669224
low_obstacle,uniform,0.14,11,5,7,0.8936510163717837,0.3929924437730043,0.3272900432200891,0.30982269831292114,0.3929924437730043
low_obstacle,uniform,0.14,11,5,8,0.8937728521186377,0.39450261178672413,0.3304680318205042,0.30982421739440097,0.39450261178672413
low_obstacle,uniform,0.14,11,5,9,0.8942533031450839,0.3957315596127823,0.3336701164171474,0.3127578737999758,0.3957315596127823
low_obstacle,uniform,0.14,11,5,10,0.8915281641721016,0.39524920011700765,0.33160188784750816,0.3108531614712777,0.39524920011700765
low_obstacle,uniform,0.14,11,5,11,0.8917644270302585,0.39575785226530014,0.33540580588359475,0.31401965368080503,0.39575785226530014
low_obstacle,uniform,0.14,11,5,12,0.8918859017448315,0.3963514929198984,0.3326031085028357,0.31347103226953643,0.3963514929198984
low_obstacle,uniform,0.14,11,5,13,0.8919600064337083,0.39333432268092106,0.3272075966556298,0.3112382943146343,0.39333432268092106
low_obstacle,uniform,0.14,11,5,14,0.8944525313783318,0.3935083704748997,0.3313252087429477,0.30976931184538364,0.3935083704748997
low_obstacle,bgr,0.14,11,5,0,0.9491447147120893,0.43242574856580235,0.34476369345942515,0.35180954413853066,0.43242574856580235
low_obstacle,bgr,0.14,11,5,1,0.944771758284687,0.4342801094886023,0.3430655247917094,0.35100019579225755,0.4342801094886023
low_obstacle,bgr,0.14,11,5,2,0.949416667852641,0.4339138157942181,0.3381938364303523,0.35297532284705774,0.4339138157942181
low_obstacle,bgr,0.14,11,5,3,0.9432534759943719,0.43754446911197625,0.34763970215249573,0.3573084390674296,0.43754446911197625
low_obstacle,bgr,0.14,11,5,4,0.9502166515285304,0.4359796013766165,0.34769055585715236,0.3552701964437824,0.4359796013766165
low_obstacle,bgr,0.14,11,5,5,0.9432067558329985,0.43373906059459855,0.3413556447328061,0.35152435935898074,0.43373906059459855
low_obstacle,bgr,0.14,11,5,6,0.9450121193098392,0.4406127496641975,0.3478129418646372,0.35756878351223154,0.4406127496641975
low_obstacle,bgr,0.14,11,5,7,0.9468622088313612,0.4349638968303904,0.34069111331469326,0.3519413826490557,0.4349638968303904
low_obstacle,bgr,0.14,11,5,8,0.9454123386892949,0.43361066199871706,0.3487978731860387,0.3514852262035347,0.43361066199871706
low_obstacle,bgr,0.14,11,5,9,0.9451817279882704,0.43247576986186476,0.3474709881290577,0.35086013895245405,0.43247576986186476
low_obstacle,bgr,0.14,11,5,10,0.9425947076696735,0.4305817057256852,0.34554445189909877,0.3490386854404071,0.4305817057256852
low_obstacle,bgr,0.14,11,5,11,0.94226240464945,0.43573904582050144,0.3477800646056036,0.35266190448065726,0.43573904582050144
low_obstacle,bgr,0.14,11,5,12,0.9450277302652659,0.4351383167325338,0.34106283281164174,0.35350499306263783,0.4351383167325338
low_obstacle,bgr,0.14,11,5,13,0.9475124018030603,0.43366227286631015,0.34245419435637925,0.35092477110882714,0.43366227286631015
low_obstacle,bgr,0.14,11,5,14,0.9512525619458518,0.4329515779263261,0.3412899496025179,0.3506168457979583,0.4329515779263261
nominal,uniform,0.22,11,6,0,0.8985375271260447,0.3963889033762574,0.33198601213104867,0.31378355856868667,0.3963889033762574
nominal,uniform,0.22,11,6,1,0.8943460875896007,0.3963557986701493,0.3290356589499679,0.3111504939041253,0.3963557986701493
nominal,uniform,0.22,11,6,2,0.8969079928846045,0.39649801726336953,0.33186749943550486,0.3134135528178421,0.39649801726336953
nominal,uniform,0.22,11,6,3,0.8932133777474036,0.39834081383541126,0.3320320573176955,0.31628766202274433,0.39834081383541126
nominal,uniform,0.22,11,6,4,0.9012584240993871,0.40178554711273906,0.33630712029912013,0.3180518751060598,0.40178554711273906
nominal,uniform,0.22,11,6,5,0.8910782894246454,0.3973563294699581,0.33232031527666755,0.31460337774416924,0.3973563294699581
nominal,uniform,0.22,11,6,6,0.8956752909792044,0.39791491343395363,0.3345098244048248,0.31436238744078954,0.39791491343395363
nominal,uniform,0.22,11,6,7,0.8936510163717837,0.3929924437730043,0.3272900432200891,0.30982269831292114,0.3929924437730043
nominal,uniform,0.22,11,6,8,0.8937728588446205,0.39447685904640234,0.3304680318205042,0.30983062010594775,0.39447685904640234
nominal,uniform,0.22,11,6,9,0.8942529678924841,0.39571458285578287,0.3336410316581607,0.3127574155317131,0.39571458285578287
nominal,uniform,0.22,11,6,10,0.891528628617166,0.3952310803681314,0.33160188784750816,0.31085843196982343,0.3952310803681314
nominal,uniform,0.22,11,6,11,0.8917651365093479,0.3957350729312162,0.3354762184368888,0.3140437235056352,0.3957350729312162
nominal,uniform,0.22,11,6,12,0.8918880029193951,0.3963323710431639,0.3326031085028357,0.31350760296930674,0.3963323710431639
nominal,uniform,0.22,11,6,13,0.8919617077545646,0.39329086196589874,0.3272075966556298,0.31127233659246856,0.39329086196589874
nominal,uniform,0.22,11,6,14,0.8944533980942354,0.39350254780301047,0.3313005954073739,0.30979282514184653,0.39350254780301047
nominal,bgr,0.22,11,6,0,0.9509545843930017,0.4332402230129616,0.34097236909938955,0.35217815501707916,0.4332402230129616
nominal,bgr,0.22,11,6,1,0.944771758284687,0.4342801094886023,0.3430655247917094,0.35100019579225755,0.4342801094886023
nominal,bgr,0.22,11,6,2,0.9494165133437191,0.43391140872362494,0.3381938364303523,0.3529784521075929,0.43391140872362494
nominal,bgr,0.22,11,6,3,0.941520414460285,0.4377715637446681,0.3509381254626842,0.35741742498578705,0.4377715637446681
nominal,bgr,0.22,11,6,4,0.9502158352492794,0.4359323779626976,0.34769055585715236,0.3552465872913795,0.4359323779626976
nominal,bgr,0.22,11,6,5,0.9433064369628555,0.43359719847605305,0.342469755880293,0.35142400054209316,0.43359719847605305
nominal,bgr,0.22,11,6,6,0.9450121535699438,0.44057959724370443,0.3478129418646372,0.3575610361805758,0.44057959724370443
nominal,bgr,0.22,11,6,7,0.9468622088313612,0.4349638968303904,0.34069111331469326,0.3519413826490557,0.4349638968303904
nominal,bgr,0.22,11,6,8,0.945411720807578,0.43358048965985635,0.3487978731860387,0.3514725002862173,0.43358048965985635
nominal,bgr,0.22,11,6,9,0.9451811917511962,0.4324439691465518,0.3474709881290577,0.35084336760361334,0.4324439691465518
nominal,bgr,0.22,11,6,10,0.9425940448302542,0.4305605981460603,0.34554445189909877,0.34903930541284595,0.4305605981460603
nominal,bgr,0.22,11,6,11,0.9428724516674701,0.4340052741648802,0.3465332586633583,0.3514562400113717,0.4340052741648802
nominal,bgr,0.22,11,6,12,0.9450252678506406,0.4350577495705363,0.34106283281164174,0.35348293622214444,0.4350577495705363
nominal,bgr,0.22,11,6,13,0.9476154884808363,0.4329931177724359,0.3404181995962974,0.35034220481838285,0.4329931177724359
