seed,replay_index,sigma,trial,success,final_distance,steps
0,0,0.0,0,1,0.04295072646187838,10
0,0,0.0,1,1,0.04295072646187838,10
0,0,0.02,0,1,0.02594018418819101,20
0,0,0.02,1,1,0.02594018418819101,20
0,0,0.04,0,1,0.04879524091045622,23
0,0,0.04,1,1,0.04879524091045622,23
0,0,0.06,0,1,0.018064385694020284,32
0,0,0.06,1,1,0.018064385694020284,32
0,0,0.08,0,1,0.03179074563284296,32
0,0,0.08,1,1,0.03179074563284296,32
0,0,0.12,0,0,0.575182378227354,250
0,0,0.12,1,0,0.575182378227354,250
0,0,0.16,0,0,0.5732283821889923,250
0,0,0.16,1,0,0.5732283821889923,250
0,0,0.2,0,0,0.38802215637304033,250
0,0,0.2,1,0,0.38802215637304033,250
0,1,0.0,0,1,0.04697066055700647,27
0,1,0.0,1,1,0.04697066055700647,27
0,1,0.02,0,1,0.04636104390770572,29
0,1,0.02,1,1,0.04636104390770572,29
0,1,0.04,0,1,0.03055310753953528,27
0,1,0.04,1,1,0.03055310753953528,27
0,1,0.06,0,1,0.03782841607681323,34
0,1,0.06,1,1,0.03782841607681323,34
0,1,0.08,0,1,0.02828172115170857,32
0,1,0.08,1,1,0.02828172115170857,32
0,1,0.12,0,1,0.04576274151370603,28
0,1,0.12,1,1,0.04576274151370603,28
0,1,0.16,0,1,0.04219816789799375,27
0,1,0.16,1,1,0.04219816789799375,27
0,1,0.2,0,1,0.034951913350688965,31
0,1,0.2,1,1,0.034951913350688965,31
0,2,0.0,0,0,0.69728401460157,250
0,2,0.0,1,0,0.69728401460157,250
0,2,0.02,0,0,0.703902961170887,250
0,2,0.02,1,0,0.703902961170887,250
0,2,0.04,0,0,0.6938864349629363,250
0,2,0.04,1,0,0.6938864349629363,250
0,2,0.06,0,0,0.7598517342527524,250
0,2,0.06,1,0,0.7598517342527524,250
0,2,0.08,0,0,0.775362588011593,250
0,2,0.08,1,0,0.775362588011593,250
0,2,0.12,0,0,0.7688218880965186,250
0,2,0.12,1,0,0.7688218880965186,250
0,2,0.16,0,0,0.751104336116772,250
0,2,0.16,1,0,0.751104336116772,250
0,2,0.2,0,0,0.7337855925659122,250
0,2,0.2,1,0,0.7337855925659122,250
0,3,0.0,0,1,0.028076151134464763,41
0,3,0.0,1,1,0.028076151134464763,41
0,3,0.02,0,0,0.7046230987983073,250
0,3,0.02,1,0,0.7046230987983073,250
0,3,0.04,0,0,0.7484474712749556,250
0,3,0.04,1,0,0.7484474712749556,250
0,3,0.06,0,0,0.7547803752994398,250
0,3,0.06,1,0,0.7547803752994398,250
0,3,0.08,0,0,0.7487120363968159,250
0,3,0.08,1,0,0.7487120363968159,250
0,3,0.12,0,0,0.7543910614293142,250
0,3,0.12,1,0,0.7543910614293142,250
0,3,0.16,0,0,0.7560089447923033,250
0,3,0.16,1,0,0.7560089447923033,250
0,3,0.2,0,0,0.7583428478332704,250
0,3,0.2,1,0,0.7583428478332704,250
1,0,0.0,0,1,0.03396263051617949,0
1,0,0.0,1,1,0.03396263051617949,0
1,0,0.02,0,1,0.03186025678693969,0
1,0,0.02,1,1,0.03186025678693969,0
1,0,0.04,0,1,0.03603111819994645,0
1,0,0.04,1,1,0.03603111819994645,0
1,0,0.06,0,1,0.04781626338284961,0
1,0,0.06,1,1,0.04781626338284961,0
1,0,0.08,0,0,0.419770337049765,250
1,0,0.08,1,0,0.419770337049765,250
1,0,0.12,0,0,0.464200881179305,250
1,0,0.12,1,0,0.464200881179305,250
1,0,0.16,0,0,0.464200881179305,250
1,0,0.16,1,0,0.464200881179305,250
1,0,0.2,0,0,0.464200881179305,250
1,0,0.2,1,0,0.464200881179305,250
1,1,0.0,0,1,0.03766306531100379,12
1,1,0.0,1,1,0.03766306531100379,12
1,1,0.02,0,1,0.022080982801378282,17
1,1,0.02,1,1,0.022080982801378282,17
1,1,0.04,0,1,0.04003359391179573,21
1,1,0.04,1,1,0.04003359391179573,21
1,1,0.06,0,1,0.028585819896841915,28
1,1,0.06,1,1,0.028585819896841915,28
1,1,0.08,0,0,0.6636288306184348,250
1,1,0.08,1,0,0.6636288306184348,250
1,1,0.12,0,0,0.700987878309857,250
1,1,0.12,1,0,0.700987878309857,250
1,1,0.16,0,0,0.6979911940986966,250
1,1,0.16,1,0,0.6979911940986966,250
1,1,0.2,0,0,0.7337541380008761,250
1,1,0.2,1,0,0.7337541380008761,250
1,2,0.0,0,1,0.03504051422870725,0
1,2,0.0,1,1,0.03504051422870725,0
1,2,0.02,0,0,0.48854360201806213,250
1,2,0.02,1,0,0.48854360201806213,250
1,2,0.04,0,0,0.5004136576708555,250
1,2,0.04,1,0,0.5004136576708555,250
1,2,0.06,0,0,0.5259087461044825,250
1,2,0.06,1,0,0.5259087461044825,250
1,2,0.08,0,0,0.4972052495012463,250
1,2,0.08,1,0,0.4972052495012463,250
1,2,0.12,0,0,0.46510036186758286,250
1,2,0.12,1,0,0.46510036186758286,250
1,2,0.16,0,0,0.46510036186758286,250
1,2,0.16,1,0,0.46510036186758286,250
1,2,0.2,0,0,0.46510036186758286,250
1,2,0.2,1,0,0.46510036186758286,250
1,3,0.0,0,1,0.02574014210695162,11
1,3,0.0,1,1,0.02574014210695162,11
1,3,0.02,0,1,0.048180413108696994,13
1,3,0.02,1,1,0.048180413108696994,13
1,3,0.04,0,1,0.03464935040616341,24
1,3,0.04,1,1,0.03464935040616341,24
1,3,0.06,0,1,0.02963423679384464,29
1,3,0.06,1,1,0.02963423679384464,29
1,3,0.08,0,1,0.020888664828968156,27
1,3,0.08,1,1,0.020888664828968156,27
1,3,0.12,0,1,0.03934476719812153,31
1,3,0.12,1,1,0.03934476719812153,31
1,3,0.16,0,1,0.031837868829288324,30
1,3,0.16,1,1,0.031837868829288324,30
1,3,0.2,0,1,0.031837868829288324,30
1,3,0.2,1,1,0.031837868829288324,30
