method,seeds,final_clean_mean,final_rauc_mean,final_median_r80_mean,rauc_aulc_mean,best_rauc_mean
bgr,4,1.000000,0.416667,2.200000,0.416667,0.416667
bgr_coverage,4,1.000000,0.416667,2.200000,0.416667,0.416667
bgr_uniform_radius,4,1.000000,0.416667,2.200000,0.416667,0.416667
failure_only,4,1.000000,0.416667,2.200000,0.416667,0.416667
fixed,4,1.000000,0.416667,2.200000,0.416667,0.416667
td_loss,4,1.000000,0.416667,2.200000,0.416667,0.416667
uniform,4,1.000000,0.416667,2.200000,0.416667,0.416667
