method,runs,mean_observed_cf_rate,mean_observed_cf_rate_sem,boundary_hit_rate,boundary_hit_rate_sem,mean_abs_distance_to_half,mean_abs_distance_to_half_sem,certificates_mean,certificates_sem
bgr_boundary,5,0.5499999999999999,0.05010838946169039,0.625,0.09682458365518541,0.29583333333333334,0.02149975775057322,16.0,2.1213203435596424
random_balanced,5,0.64375,0.036443449342783124,0.575,0.08477912478906584,0.25625,0.0400195264839553,20.6,1.16619037896906
