seed,replay_index,sigma,trial,success,final_distance,steps
0,0,0.0,0,1,0.042950726514616164,10
0,0,0.0,1,1,0.042950726514616164,10
0,0,0.08,0,1,0.04736117531901529,22
0,0,0.08,1,1,0.04736117531901529,22
0,0,0.16,0,1,0.04736117531901529,22
0,0,0.16,1,1,0.04736117531901529,22
0,0,0.24,0,1,0.04736117531901529,22
0,0,0.24,1,1,0.04736117531901529,22
0,0,0.32,0,1,0.04736117531901529,22
0,0,0.32,1,1,0.04736117531901529,22
0,0,0.4,0,1,0.04736117531901529,22
0,0,0.4,1,1,0.04736117531901529,22
0,0,0.5,0,1,0.04736117531901529,22
0,0,0.5,1,1,0.04736117531901529,22
0,0,0.6,0,1,0.04736117531901529,22
0,0,0.6,1,1,0.04736117531901529,22
0,1,0.0,0,1,0.04697066001648151,27
0,1,0.0,1,1,0.04697066001648151,27
0,1,0.08,0,0,0.44519310616739266,250
0,1,0.08,1,0,0.44519310616739266,250
0,1,0.16,0,0,0.4509846613878833,250
0,1,0.16,1,0,0.4509846613878833,250
0,1,0.24,0,0,0.4509846613878833,250
0,1,0.24,1,0,0.4509846613878833,250
0,1,0.32,0,0,0.4509846613878833,250
0,1,0.32,1,0,0.4509846613878833,250
0,1,0.4,0,0,0.4509846613878833,250
0,1,0.4,1,0,0.4509846613878833,250
0,1,0.5,0,0,0.4509846613878833,250
0,1,0.5,1,0,0.4509846613878833,250
0,1,0.6,0,0,0.4509846613878833,250
0,1,0.6,1,0,0.4509846613878833,250
0,2,0.0,0,0,0.6972840163984566,250
0,2,0.0,1,0,0.6972840163984566,250
0,2,0.08,0,0,0.7640770082850296,250
0,2,0.08,1,0,0.7640770082850296,250
0,2,0.16,0,0,0.7776101935199251,250
0,2,0.16,1,0,0.7776101935199251,250
0,2,0.24,0,0,0.7761313506500892,250
0,2,0.24,1,0,0.7761313506500892,250
0,2,0.32,0,0,0.781695136290391,250
0,2,0.32,1,0,0.781695136290391,250
0,2,0.4,0,0,0.7843941475208203,250
0,2,0.4,1,0,0.7843941475208203,250
0,2,0.5,0,0,0.7805067216075896,250
0,2,0.5,1,0,0.7805067216075896,250
0,2,0.6,0,0,0.782418027849146,250
0,2,0.6,1,0,0.782418027849146,250
0,3,0.0,0,1,0.02807614347561378,41
0,3,0.0,1,1,0.02807614347561378,41
0,3,0.08,0,1,0.03101253164527226,32
0,3,0.08,1,1,0.03101253164527226,32
0,3,0.16,0,1,0.04952218482048627,22
0,3,0.16,1,1,0.04952218482048627,22
0,3,0.24,0,1,0.04952218482048627,22
0,3,0.24,1,1,0.04952218482048627,22
0,3,0.32,0,1,0.04952218482048627,22
0,3,0.32,1,1,0.04952218482048627,22
0,3,0.4,0,1,0.04952218482048627,22
0,3,0.4,1,1,0.04952218482048627,22
0,3,0.5,0,1,0.04952218482048627,22
0,3,0.5,1,1,0.04952218482048627,22
0,3,0.6,0,1,0.04952218482048627,22
0,3,0.6,1,1,0.04952218482048627,22
1,0,0.0,0,1,0.03396263051617949,0
1,0,0.0,1,1,0.03396263051617949,0
1,0,0.08,0,1,0.03458157425965745,10
1,0,0.08,1,1,0.03458157425965745,10
1,0,0.16,0,1,0.03458157425965745,10
1,0,0.16,1,1,0.03458157425965745,10
1,0,0.24,0,1,0.03458157425965745,10
1,0,0.24,1,1,0.03458157425965745,10
1,0,0.32,0,1,0.03458157425965745,10
1,0,0.32,1,1,0.03458157425965745,10
1,0,0.4,0,1,0.03458157425965745,10
1,0,0.4,1,1,0.03458157425965745,10
1,0,0.5,0,1,0.03458157425965745,10
1,0,0.5,1,1,0.03458157425965745,10
1,0,0.6,0,1,0.03458157425965745,10
1,0,0.6,1,1,0.03458157425965745,10
1,1,0.0,0,1,0.037663065500821644,12
1,1,0.0,1,1,0.037663065500821644,12
1,1,0.08,0,1,0.02782301770521004,24
1,1,0.08,1,1,0.02782301770521004,24
1,1,0.16,0,1,0.04960232099119249,30
1,1,0.16,1,1,0.04960232099119249,30
1,1,0.24,0,1,0.042796507396030595,28
1,1,0.24,1,1,0.042796507396030595,28
1,1,0.32,0,1,0.042796507396030595,28
1,1,0.32,1,1,0.042796507396030595,28
1,1,0.4,0,1,0.042796507396030595,28
1,1,0.4,1,1,0.042796507396030595,28
1,1,0.5,0,1,0.042796507396030595,28
1,1,0.5,1,1,0.042796507396030595,28
