dataset,target_radius,method,seed,final_rauc
blood-transfusion-service-center,2.0000,uniform,42,0.595500
blood-transfusion-service-center,2.0000,fixed,42,0.703750
blood-transfusion-service-center,2.0000,bgr,42,0.773750
blood-transfusion-service-center,2.0000,uniform,43,0.694000
blood-transfusion-service-center,2.0000,fixed,43,0.756500
blood-transfusion-service-center,2.0000,bgr,43,0.764000
blood-transfusion-service-center,2.0000,uniform,44,0.647500
blood-transfusion-service-center,2.0000,fixed,44,0.734500
blood-transfusion-service-center,2.0000,bgr,44,0.761500
blood-transfusion-service-center,2.0000,uniform,45,0.708750
blood-transfusion-service-center,2.0000,fixed,45,0.723750
blood-transfusion-service-center,2.0000,bgr,45,0.768000
blood-transfusion-service-center,2.0000,uniform,46,0.678750
blood-transfusion-service-center,2.0000,fixed,46,0.778000
blood-transfusion-service-center,2.0000,bgr,46,0.760000
blood-transfusion-service-center,2.0000,uniform,47,0.654250
blood-transfusion-service-center,2.0000,fixed,47,0.760000
blood-transfusion-service-center,2.0000,bgr,47,0.733250
blood-transfusion-service-center,2.0000,uniform,48,0.761000
blood-transfusion-service-center,2.0000,fixed,48,0.705500
blood-transfusion-service-center,2.0000,bgr,48,0.760000
blood-transfusion-service-center,2.0000,uniform,49,0.677500
blood-transfusion-service-center,2.0000,fixed,49,0.674000
blood-transfusion-service-center,2.0000,bgr,49,0.776000
blood-transfusion-service-center,2.0000,uniform,50,0.772000
blood-transfusion-service-center,2.0000,fixed,50,0.733500
blood-transfusion-service-center,2.0000,bgr,50,0.758750
blood-transfusion-service-center,2.0000,uniform,51,0.730750
blood-transfusion-service-center,2.0000,fixed,51,0.664000
blood-transfusion-service-center,2.0000,bgr,51,0.712750
blood-transfusion-service-center,2.0000,uniform,52,0.608750
blood-transfusion-service-center,2.0000,fixed,52,0.751750
blood-transfusion-service-center,2.0000,bgr,52,0.760000
blood-transfusion-service-center,2.0000,uniform,53,0.689000
blood-transfusion-service-center,2.0000,fixed,53,0.713000
blood-transfusion-service-center,2.0000,bgr,53,0.760000
blood-transfusion-service-center,2.0000,uniform,54,0.735750
blood-transfusion-service-center,2.0000,fixed,54,0.763000
blood-transfusion-service-center,2.0000,bgr,54,0.764000
blood-transfusion-service-center,2.0000,uniform,55,0.683500
blood-transfusion-service-center,2.0000,fixed,55,0.697000
blood-transfusion-service-center,2.0000,bgr,55,0.762250
blood-transfusion-service-center,2.0000,uniform,56,0.623500
blood-transfusion-service-center,2.0000,fixed,56,0.758000
blood-transfusion-service-center,2.0000,bgr,56,0.762000
blood-transfusion-service-center,2.0000,uniform,57,0.653250
blood-transfusion-service-center,2.0000,fixed,57,0.660000
blood-transfusion-service-center,2.0000,bgr,57,0.760000
blood-transfusion-service-center,2.0000,uniform,58,0.682500
blood-transfusion-service-center,2.0000,fixed,58,0.615500
blood-transfusion-service-center,2.0000,bgr,58,0.752000
blood-transfusion-service-center,2.0000,uniform,59,0.592500
blood-transfusion-service-center,2.0000,fixed,59,0.700500
blood-transfusion-service-center,2.0000,bgr,59,0.760000
climate-model-simulation-crashes,2.0000,uniform,30,0.889220
climate-model-simulation-crashes,2.0000,fixed,30,0.886243
climate-model-simulation-crashes,2.0000,bgr,30,0.912037
climate-model-simulation-crashes,2.0000,uniform,31,0.893519
climate-model-simulation-crashes,2.0000,fixed,31,0.874669
climate-model-simulation-crashes,2.0000,bgr,31,0.915344
climate-model-simulation-crashes,2.0000,uniform,32,0.878307
climate-model-simulation-crashes,2.0000,fixed,32,0.903770
climate-model-simulation-crashes,2.0000,bgr,32,0.915344
climate-model-simulation-crashes,2.0000,uniform,33,0.814484
climate-model-simulation-crashes,2.0000,fixed,33,0.855489
climate-model-simulation-crashes,2.0000,bgr,33,0.848876
climate-model-simulation-crashes,2.0000,uniform,34,0.898810
climate-model-simulation-crashes,2.0000,fixed,34,0.837302
climate-model-simulation-crashes,2.0000,bgr,34,0.915344
climate-model-simulation-crashes,2.0000,uniform,35,0.843585
climate-model-simulation-crashes,2.0000,fixed,35,0.849206
climate-model-simulation-crashes,2.0000,bgr,35,0.870701
climate-model-simulation-crashes,2.0000,uniform,36,0.829696
climate-model-simulation-crashes,2.0000,fixed,36,0.906085
climate-model-simulation-crashes,2.0000,bgr,36,0.904101
climate-model-simulation-crashes,2.0000,uniform,37,0.919312
climate-model-simulation-crashes,2.0000,fixed,37,0.906746
climate-model-simulation-crashes,2.0000,bgr,37,0.915344
climate-model-simulation-crashes,2.0000,uniform,38,0.882606
climate-model-simulation-crashes,2.0000,fixed,38,0.867725
climate-model-simulation-crashes,2.0000,bgr,38,0.911376
climate-model-simulation-crashes,2.0000,uniform,39,0.868717
climate-model-simulation-crashes,2.0000,fixed,39,0.841270
climate-model-simulation-crashes,2.0000,bgr,39,0.914683
climate-model-simulation-crashes,2.0000,uniform,40,0.921958
climate-model-simulation-crashes,2.0000,fixed,40,0.907738
climate-model-simulation-crashes,2.0000,bgr,40,0.915675
climate-model-simulation-crashes,2.0000,uniform,41,0.877315
climate-model-simulation-crashes,2.0000,fixed,41,0.895172
climate-model-simulation-crashes,2.0000,bgr,41,0.915344
climate-model-simulation-crashes,2.0000,uniform,42,0.880622
climate-model-simulation-crashes,2.0000,fixed,42,0.911706
climate-model-simulation-crashes,2.0000,bgr,42,0.911376
climate-model-simulation-crashes,2.0000,uniform,43,0.877315
climate-model-simulation-crashes,2.0000,fixed,43,0.904101
climate-model-simulation-crashes,2.0000,bgr,43,0.876653
climate-model-simulation-crashes,2.0000,uniform,44,0.906746
climate-model-simulation-crashes,2.0000,fixed,44,0.851852
climate-model-simulation-crashes,2.0000,bgr,44,0.916667
climate-model-simulation-crashes,2.0000,uniform,45,0.904431
climate-model-simulation-crashes,2.0000,fixed,45,0.900132
climate-model-simulation-crashes,2.0000,bgr,45,0.915344
climate-model-simulation-crashes,2.0000,uniform,46,0.866402
climate-model-simulation-crashes,2.0000,fixed,46,0.874339
climate-model-simulation-crashes,2.0000,bgr,46,0.915344
climate-model-simulation-crashes,2.0000,uniform,47,0.786045
climate-model-simulation-crashes,2.0000,fixed,47,0.904101
climate-model-simulation-crashes,2.0000,bgr,47,0.915344
climate-model-simulation-crashes,2.0000,uniform,48,0.898148
climate-model-simulation-crashes,2.0000,fixed,48,0.820106
climate-model-simulation-crashes,2.0000,bgr,48,0.905754
climate-model-simulation-crashes,2.0000,uniform,49,0.900794
climate-model-simulation-crashes,2.0000,fixed,49,0.822421
climate-model-simulation-crashes,2.0000,bgr,49,0.902778
climate-model-simulation-crashes,2.0000,uniform,50,0.857143
climate-model-simulation-crashes,2.0000,fixed,50,0.887566
climate-model-simulation-crashes,2.0000,bgr,50,0.915344
climate-model-simulation-crashes,2.0000,uniform,51,0.852183
climate-model-simulation-crashes,2.0000,fixed,51,0.905093
climate-model-simulation-crashes,2.0000,bgr,51,0.904101
climate-model-simulation-crashes,2.0000,uniform,52,0.898810
climate-model-simulation-crashes,2.0000,fixed,52,0.915675
climate-model-simulation-crashes,2.0000,bgr,52,0.908399
climate-model-simulation-crashes,2.0000,uniform,53,0.869709
climate-model-simulation-crashes,2.0000,fixed,53,0.935516
climate-model-simulation-crashes,2.0000,bgr,53,0.892857
climate-model-simulation-crashes,2.0000,uniform,54,0.854828
climate-model-simulation-crashes,2.0000,fixed,54,0.857474
climate-model-simulation-crashes,2.0000,bgr,54,0.877315
climate-model-simulation-crashes,2.0000,uniform,55,0.923611
climate-model-simulation-crashes,2.0000,fixed,55,0.867725
climate-model-simulation-crashes,2.0000,bgr,55,0.910053
climate-model-simulation-crashes,2.0000,uniform,56,0.871362
climate-model-simulation-crashes,2.0000,fixed,56,0.877976
climate-model-simulation-crashes,2.0000,bgr,56,0.915344
climate-model-simulation-crashes,2.0000,uniform,57,0.908069
climate-model-simulation-crashes,2.0000,fixed,57,0.867725
climate-model-simulation-crashes,2.0000,bgr,57,0.920966
climate-model-simulation-crashes,2.0000,uniform,58,0.863426
climate-model-simulation-crashes,2.0000,fixed,58,0.887897
climate-model-simulation-crashes,2.0000,bgr,58,0.914021
climate-model-simulation-crashes,2.0000,uniform,59,0.882937
climate-model-simulation-crashes,2.0000,fixed,59,0.907077
climate-model-simulation-crashes,2.0000,bgr,59,0.923942
kc1,2.0000,uniform,30,0.804250
kc1,2.0000,fixed,30,0.866000
kc1,2.0000,bgr,30,0.816750
kc1,2.0000,uniform,31,0.837000
kc1,2.0000,fixed,31,0.819250
kc1,2.0000,bgr,31,0.863750
kc1,2.0000,uniform,32,0.873250
kc1,2.0000,fixed,32,0.851250
kc1,2.0000,bgr,32,0.864250
kc1,2.0000,uniform,33,0.852000
kc1,2.0000,fixed,33,0.778750
kc1,2.0000,bgr,33,0.794250
kc1,2.0000,uniform,34,0.706000
kc1,2.0000,fixed,34,0.780000
kc1,2.0000,bgr,34,0.775750
kc1,2.0000,uniform,35,0.798000
kc1,2.0000,fixed,35,0.838750
kc1,2.0000,bgr,35,0.843000
kc1,2.0000,uniform,36,0.830000
kc1,2.0000,fixed,36,0.831000
kc1,2.0000,bgr,36,0.770750
kc1,2.0000,uniform,37,0.541750
kc1,2.0000,fixed,37,0.808750
kc1,2.0000,bgr,37,0.840750
kc1,2.0000,uniform,38,0.855000
kc1,2.0000,fixed,38,0.818000
kc1,2.0000,bgr,38,0.864000
kc1,2.0000,uniform,39,0.839750
kc1,2.0000,fixed,39,0.829500
kc1,2.0000,bgr,39,0.786750
kc1,2.0000,uniform,40,0.782500
kc1,2.0000,fixed,40,0.817250
kc1,2.0000,bgr,40,0.824500
kc1,2.0000,uniform,41,0.795750
kc1,2.0000,fixed,41,0.815250
kc1,2.0000,bgr,41,0.831750
kc1,2.0000,uniform,42,0.807250
kc1,2.0000,fixed,42,0.854500
kc1,2.0000,bgr,42,0.826000
kc1,2.0000,uniform,43,0.791750
kc1,2.0000,fixed,43,0.750000
kc1,2.0000,bgr,43,0.810500
kc1,2.0000,uniform,44,0.783250
kc1,2.0000,fixed,44,0.813250
kc1,2.0000,bgr,44,0.832750
kc1,2.0000,uniform,45,0.846000
kc1,2.0000,fixed,45,0.849750
kc1,2.0000,bgr,45,0.821000
kc1,2.0000,uniform,46,0.841750
kc1,2.0000,fixed,46,0.848500
kc1,2.0000,bgr,46,0.821000
kc1,2.0000,uniform,47,0.793750
kc1,2.0000,fixed,47,0.786750
kc1,2.0000,bgr,47,0.830500
kc1,2.0000,uniform,48,0.821750
kc1,2.0000,fixed,48,0.801750
kc1,2.0000,bgr,48,0.773750
kc1,2.0000,uniform,49,0.826500
kc1,2.0000,fixed,49,0.835250
kc1,2.0000,bgr,49,0.855500
kc1,2.0000,uniform,50,0.775250
kc1,2.0000,fixed,50,0.785500
kc1,2.0000,bgr,50,0.771250
kc1,2.0000,uniform,51,0.774250
kc1,2.0000,fixed,51,0.791250
kc1,2.0000,bgr,51,0.834500
kc1,2.0000,uniform,52,0.403750
kc1,2.0000,fixed,52,0.844250
kc1,2.0000,bgr,52,0.860250
kc1,2.0000,uniform,53,0.753250
kc1,2.0000,fixed,53,0.845250
kc1,2.0000,bgr,53,0.840500
kc1,2.0000,uniform,54,0.776750
kc1,2.0000,fixed,54,0.815250
kc1,2.0000,bgr,54,0.849000
kc1,2.0000,uniform,55,0.818500
kc1,2.0000,fixed,55,0.837500
kc1,2.0000,bgr,55,0.799250
kc1,2.0000,uniform,56,0.831750
kc1,2.0000,fixed,56,0.774500
kc1,2.0000,bgr,56,0.816250
kc1,2.0000,uniform,57,0.777250
kc1,2.0000,fixed,57,0.839500
kc1,2.0000,bgr,57,0.779250
kc1,2.0000,uniform,58,0.821000
kc1,2.0000,fixed,58,0.485500
kc1,2.0000,bgr,58,0.759500
kc1,2.0000,uniform,59,0.860500
kc1,2.0000,fixed,59,0.769750
kc1,2.0000,bgr,59,0.785000
mozilla4,2.0000,uniform,30,0.739250
mozilla4,2.0000,fixed,30,0.645750
mozilla4,2.0000,bgr,30,0.666500
mozilla4,2.0000,uniform,31,0.653000
mozilla4,2.0000,fixed,31,0.622000
mozilla4,2.0000,bgr,31,0.680500
mozilla4,2.0000,uniform,32,0.640000
mozilla4,2.0000,fixed,32,0.589500
mozilla4,2.0000,bgr,32,0.668000
mozilla4,2.0000,uniform,33,0.719750
mozilla4,2.0000,fixed,33,0.655250
mozilla4,2.0000,bgr,33,0.656000
mozilla4,2.0000,uniform,34,0.659500
mozilla4,2.0000,fixed,34,0.640500
mozilla4,2.0000,bgr,34,0.624000
mozilla4,2.0000,uniform,35,0.714750
mozilla4,2.0000,fixed,35,0.720000
mozilla4,2.0000,bgr,35,0.685250
mozilla4,2.0000,uniform,36,0.633750
mozilla4,2.0000,fixed,36,0.687000
mozilla4,2.0000,bgr,36,0.635500
mozilla4,2.0000,uniform,37,0.719000
mozilla4,2.0000,fixed,37,0.613750
mozilla4,2.0000,bgr,37,0.672250
