seed,sigma,direction,success,steps,max_abs_angle,final_abs_angle
310000,0.0,1,1,200,0.008826744803016541,0.0005881565626728975
310000,0.02,1,1,200,0.011173255196983459,0.0012978942441908207
310000,0.04,1,1,200,0.03117325519698346,0.003187162779716101
310000,0.06,1,1,200,0.05117325519698346,0.005084876138238057
310000,0.08,1,1,200,0.07117325519698346,0.006996274482691279
310000,0.1,1,1,200,0.09117325519698347,0.008926618837455219
310000,0.12,1,1,200,0.11117325519698346,0.010881198909488842
310000,0.16,1,1,200,0.15117325519698346,0.01488441948964477
310000,0.2,1,1,200,0.19117325519698347,0.019049142685210338
310000,0.25,1,0,1,0.24117325519698346,0.2112863729857186
310000,0.3,1,0,1,0.29117325519698345,0.255844384080011
310001,0.0,-1,1,200,0.003968736577231977,9.973376714060645e-05
310001,0.02,-1,1,200,0.019715278670490614,0.001786759438115575
310001,0.04,-1,1,200,0.039715278670490614,0.003678086623443276
310001,0.06,-1,1,200,0.05971527867049061,0.005579476249787941
310001,0.08,-1,1,200,0.07971527867049062,0.0074961708440003305
310001,0.1,-1,1,200,0.09971527867049063,0.009433434827956737
310001,0.12,-1,1,200,0.11971527867049062,0.01139656297989898
310001,0.16,-1,1,200,0.15971527867049062,0.01542178675002379
310001,0.2,-1,1,200,0.19971527867049063,0.019615108761127754
310001,0.25,-1,0,1,0.24971527867049062,0.21869899025209721
310001,0.3,-1,0,1,0.2997152786704906,0.263307555348221
310002,0.0,1,1,200,0.008639625606453465,0.0010301433297862084
310002,0.02,1,1,200,0.028639625606453466,0.002918718263033767
310002,0.04,1,1,200,0.04863962560645346,0.00481507750245181
310002,0.06,1,1,200,0.06863962560645347,0.006724458934670471
310002,0.08,1,1,200,0.08863962560645347,0.00865212079379466
310002,0.1,1,1,200,0.10863962560645347,0.010603348708410185
310002,0.12,1,1,200,0.12863962560645345,0.012583463947598596
310002,0.16,1,1,200,0.16863962560645346,0.016651873148709834
310002,0.2,1,1,200,0.20863962560645347,0.020900956182271967
310002,0.25,1,0,1,0.2586396256064535,0.22680386406347477
310002,0.3,1,0,1,0.30863962560645347,0.27270415274318777
310003,0.0,-1,1,200,0.009465873533314644,0.001102459513678557
310003,0.02,-1,1,200,0.029465873533314646,0.0029906435913369302
310003,0.04,-1,1,200,0.04946587353331464,0.004886187667996846
310003,0.06,-1,1,200,0.06946587353331464,0.0067943264030624504
310003,0.08,-1,1,200,0.08946587353331464,0.008720312352127807
310003,0.1,-1,1,200,0.10946587353331465,0.010669423760580466
310003,0.12,-1,1,200,0.12946587353331465,0.012646973552418887
310003,0.16,-1,1,200,0.16946587353331466,0.016708854785937824
310003,0.2,-1,1,200,0.20946587353331467,0.020949449537704116
310003,0.25,-1,0,1,0.25946587353331463,0.2274140264778711
310003,0.3,-1,0,1,0.3094658735333146,0.2734275493591218
310004,0.0,1,1,200,0.004275123025264311,0.0005303765440614747
310004,0.02,1,1,200,0.02427512302526431,0.0024179552957336397
310004,0.04,1,1,200,0.04427512302526431,0.004312183828438366
310004,0.06,1,1,200,0.06427512302526431,0.006218296801985005
310004,0.08,1,1,200,0.08427512302526431,0.008141547334497455
310004,0.1,1,1,200,0.10427512302526432,0.010087214028234422
310004,0.12,1,1,200,0.1242751230252643,0.01206061024107798
310004,0.16,1,1,200,0.1642751230252643,0.016112061852852924
310004,0.2,1,1,200,0.20427512302526432,0.02033940295976511
310004,0.25,1,0,1,0.25427512302526434,0.22290663556312756
310004,0.3,1,0,1,0.3042751230252643,0.26816076613016765
310005,0.0,-1,1,200,0.006948808266666062,0.00044623766541148
310005,0.02,-1,1,200,0.013051191733333939,0.0014398092767972954
310005,0.04,-1,1,200,0.033051191733333936,0.0033289282773279884
310005,0.06,-1,1,200,0.05305119173333393,0.00522634475384254
310005,0.08,-1,1,200,0.07305119173333394,0.007137296069350451
310005,0.1,-1,1,200,0.09305119173333394,0.00906703874865092
310005,0.12,-1,1,200,0.11305119173333393,0.011020856620990675
310005,0.16,-1,1,200,0.15305119173333395,0.015022039014250583
310005,0.2,-1,1,200,0.19305119173333396,0.019183971281994207
310005,0.25,-1,0,1,0.24305119173333395,0.21282820159625596
310005,0.3,-1,0,1,0.29305119173333394,0.2573843780450018
310006,0.0,1,1,200,0.008303160004583306,0.0006786970806243917
310006,0.02,1,1,200,0.028303160004583307,0.0025672176843408038
310006,0.04,1,1,200,0.048303160004583304,0.004463459014127019
310006,0.06,1,1,200,0.06830316000458331,0.006372658651169976
310006,0.08,1,1,200,0.08830316000458331,0.008300073967154759
310006,0.1,1,1,200,0.10830316000458332,0.010250989979613268
310006,0.12,1,1,200,0.1283031600045833,0.01223072655391602
310006,0.16,1,1,200,0.1683031600045833,0.016298172934641544
310006,0.2,1,1,200,0.20830316000458332,0.020546007059544017
310006,0.25,1,0,1,0.2583031600045833,0.226452421251219
310006,0.3,1,0,1,0.3083031600045833,0.27235386892715924
310007,0.0,-1,1,200,0.005101124465464611,0.0007158532789958204
310007,0.02,-1,1,200,0.02510112446546461,0.0026031249550717544
310007,0.04,-1,1,200,0.04510112446546461,0.004496614005854516
310007,0.06,-1,1,200,0.06510112446546461,0.006401552291763728
310007,0.08,-1,1,200,0.08510112446546461,0.008323187408494321
310007,0.1,-1,1,200,0.10510112446546462,0.010266791717856702
310007,0.12,-1,1,200,0.12510112446546462,0.012237669582060542
310007,0.16,-1,1,200,0.16510112446546463,0.016282673040335923
310007,0.2,-1,1,200,0.20510112446546463,0.020501589795522787
310007,0.25,-1,0,1,0.2551011244654646,0.22353586333943248
310007,0.3,-1,0,1,0.3051011244654646,0.26888435782082737
310008,0.0,1,1,200,0.005116850195395139,0.0003914643730550764
310008,0.02,1,1,200,0.02511685019539514,0.0022792366309402866
310008,0.04,1,1,200,0.04511685019539514,0.004173895347540862
310008,0.06,1,1,200,0.06511685019539513,0.006080675954200104
310008,0.08,1,1,200,0.08511685019539514,0.008004832070887489
310008,0.1,1,1,200,0.10511685019539514,0.00995164357435221
310008,0.12,1,1,200,0.12511685019539515,0.011926424525087527
310008,0.16,1,1,200,0.16511685019539515,0.015981373846828278
310008,0.2,1,1,200,0.20511685019539516,0.02021319730024265
310008,0.25,1,0,1,0.25511685019539515,0.22361971034452185
310008,0.3,1,0,1,0.30511685019539514,0.26903693140505264
310009,0.0,-1,1,200,0.009623637888336064,0.0006738284809213043
310009,0.02,-1,1,200,0.029623637888336066,0.002562070730105202
310009,0.04,-1,1,200,0.04962363788833606,0.004457748283352506
310009,0.06,-1,1,200,0.06962363788833606,0.006366095427020222
310009,0.08,-1,1,200,0.08962363788833606,0.008292364508802027
310009,0.1,-1,1,200,0.10962363788833607,0.010241833421456846
310009,0.12,-1,1,200,0.12962363788833606,0.012219815040216091
310009,0.16,-1,1,200,0.16962363788833607,0.016282780122135264
310009,0.2,-1,1,200,0.20962363788833607,0.020524750096964202
310009,0.25,-1,0,1,0.2596236378883361,0.2274822017998966
310009,0.3,-1,0,1,0.3096236378883361,0.2735917782849057
310010,0.0,1,1,200,0.003834397026477912,7.349004298049083e-05
310010,0.02,1,1,200,0.019514449130535478,0.0018132860701453308
310010,0.04,1,1,200,0.03951444913053548,0.0037054796006071203
310010,0.06,1,1,200,0.059514449130535475,0.005608322061407754
310010,0.08,1,1,200,0.07951444913053547,0.007527061289397887
310010,0.1,1,1,200,0.09951444913053548,0.00946696905615107
310010,0.12,1,1,200,0.11951444913053547,0.01143334913141485
310010,0.16,1,1,200,0.15951444913053547,0.015466952227087096
310010,0.2,1,1,200,0.19951444913053548,0.01967125775109172
310010,0.25,1,0,1,0.24951444913053547,0.2186492053114184
310010,0.3,1,0,1,0.2995144491305355,0.2632727310591952
310011,0.0,-1,1,200,0.003990709011138966,0.00021244365569351553
310011,0.02,-1,1,200,0.022619053871864775,0.0020993138340196014
310011,0.04,-1,1,200,0.04261905387186477,0.0039917736453291604
310011,0.06,-1,1,200,0.06261905387186477,0.005895053045470266
310011,0.08,-1,1,200,0.08261905387186477,0.007814397128497257
310011,0.1,-1,1,200,0.10261905387186478,0.009755074996238271
310011,0.12,-1,1,200,0.12261905387186477,0.0117223851300484
310011,0.16,-1,1,200,0.1626190538718648,0.01575830672448741
310011,0.2,-1,1,200,0.2026190538718648,0.019965492954660307
310011,0.25,-1,0,1,0.2526190538718648,0.2212854687869589
310011,0.3,-1,0,1,0.3026190538718648,0.2663011676112932
