seed,sigma,angle,success,steps,max_abs_pole_angle,final_abs_pole_angle
420000,0.0,0.61803398875,1,250,0.2024506703737931,3.497916381046848e-06
420000,0.0,2.3310339887500002,1,250,0.2024506703737931,3.497916381046848e-06
420000,0.0,4.04403398875,1,250,0.2024506703737931,3.497916381046848e-06
420000,0.0,5.75703398875,1,250,0.2024506703737931,3.497916381046848e-06
420000,0.1,0.61803398875,1,250,0.03709556630067752,1.4187213240087218e-06
420000,0.1,2.3310339887500002,1,250,0.18795968966375495,3.3671714706143837e-06
420000,0.1,4.04403398875,1,250,0.37152545023911826,4.1151700674391425e-06
420000,0.1,5.75703398875,1,250,0.18308404705938658,3.1602508845832954e-06
420000,0.2,0.61803398875,1,250,0.17347691181396724,8.740530484017775e-07
420000,0.2,2.3310339887500002,1,250,0.19175238074526907,3.136426908956555e-06
420000,0.2,4.04403398875,0,16,1.065409668423848,1.065409668423848
420000,0.2,5.75703398875,1,250,0.1954807478800311,2.879349703495923e-06
420000,0.3,0.61803398875,1,250,0.3574850838222739,2.020206707902734e-06
420000,0.3,2.3310339887500002,1,250,0.25743472672834317,2.6807946265943643e-06
420000,0.3,4.04403398875,0,8,0.9904139157141605,0.9904139157141605
420000,0.3,5.75703398875,1,250,0.24570164144681306,2.6688252495649576e-06
420000,0.4,0.61803398875,1,250,0.5512322900948775,3.83578578862857e-06
420000,0.4,2.3310339887500002,1,250,0.3263440958879559,1.8704557756677708e-06
420000,0.4,4.04403398875,0,2,0.6296841663507975,0.6296841663507975
420000,0.4,5.75703398875,1,250,0.295922535013595,2.3656651314746484e-06
420000,0.5,0.61803398875,0,9,1.2690067568037944,1.2690067568037944
420000,0.5,2.3310339887500002,1,250,0.3952534650475685,1.040558021131887e-06
420000,0.5,4.04403398875,0,1,0.4874600267627114,0.46983547337779286
420000,0.5,5.75703398875,1,250,0.4415664310482223,2.12044312016633e-06
420000,0.6,0.61803398875,0,1,0.5447581064513994,0.5447581064513994
420000,0.6,2.3310339887500002,0,14,0.8299849520734239,0.8299849520734239
420000,0.6,4.04403398875,0,1,0.5659442399659602,0.5307028534804361
420000,0.6,5.75703398875,0,6,0.8643137243872062,0.8643137243872062
420000,0.7,0.61803398875,0,1,0.6239891986996848,0.6239891986996848
420000,0.7,2.3310339887500002,0,8,1.0695236802937393,1.0695236802937393
420000,0.7,4.04403398875,0,1,0.644428453169209,0.5909752761975865
420000,0.7,5.75703398875,0,5,0.8810228276532927,0.8810228276532927
420000,0.8,0.61803398875,0,1,0.7027845657906545,0.7027845657906545
420000,0.8,2.3310339887500002,0,11,0.9878015064694791,0.9878015064694791
420000,0.8,4.04403398875,0,1,0.722912666372458,0.6506286628862863
420000,0.8,5.75703398875,0,6,0.8246077065375803,0.8246077065375803
420000,0.9,0.61803398875,0,1,0.7811653305874309,0.7811653305874309
420000,0.9,2.3310339887500002,0,6,0.7895042256200299,0.7895042256200299
420000,0.9,4.04403398875,0,1,0.8013968795757068,0.7096669046467852
420000,0.9,5.75703398875,0,5,0.8130607704045691,0.48960140693257753
420001,0.0,1.2360679775,1,250,0.06230531663508208,8.280926034296454e-07
420001,0.0,2.9490679775000004,1,250,0.06230531663508208,8.280926034296454e-07
420001,0.0,4.6620679775000005,1,250,0.06230531663508208,8.280926034296454e-07
420001,0.0,0.0918826703204143,1,250,0.06230531663508208,8.280926034296454e-07
420001,0.1,1.2360679775,1,250,0.21494851755014283,1.078645257087256e-06
420001,0.1,2.9490679775000004,1,250,0.1494011530389996,1.9636105573205857e-06
420001,0.1,4.6620679775000005,1,250,0.12862166616294834,2.7663408367172527e-06
420001,0.1,0.0918826703204143,1,250,0.16415861489167127,7.586942806571333e-07
420001,0.2,1.2360679775,1,250,0.3738230051563307,1.469136157869937e-06
420001,0.2,2.9490679775000004,1,250,0.2475535828836692,3.0364910157358834e-06
420001,0.2,4.6620679775000005,1,250,0.27120386988737516,4.001851402673564e-06
420001,0.2,0.0918826703204143,1,250,0.3011458932185221,1.8500244930206603e-06
420001,0.3,1.2360679775,0,10,0.812778979825696,0.812778979825696
420001,0.3,2.9490679775000004,1,250,0.3457060127283388,3.919439325700739e-06
420001,0.3,4.6620679775000005,1,250,0.3977321735937593,3.984365983179267e-06
420001,0.3,0.0918826703204143,1,250,0.4404129807709221,1.8482647990496557e-06
420001,0.4,1.2360679775,0,4,0.8464335439222782,0.8464335439222782
420001,0.4,2.9490679775000004,0,19,1.2575848664016431,1.2575848664016431
420001,0.4,4.6620679775000005,1,250,0.5653783412572096,8.31676323020328e-08
420001,0.4,0.0918826703204143,1,250,0.5982672695147017,2.9013609927394287e-06
420001,0.5,1.2360679775,0,3,0.8548283512197222,0.8548283512197222
420001,0.5,2.9490679775000004,0,13,1.434383719839542,1.434383719839542
420001,0.5,4.6620679775000005,0,4,0.8436901242225191,0.8436901242225191
420001,0.5,0.0918826703204143,0,3,0.7428029656027051,0.7428029656027051
420001,0.6,1.2360679775,0,2,0.6290050677325223,0.5761648372109437
420001,0.6,2.9490679775000004,0,9,1.3429024063577866,1.3429024063577866
420001,0.6,4.6620679775000005,0,3,0.8498960976426054,0.8498960976426054
420001,0.6,0.0918826703204143,0,1,0.6430823397639516,0.6430823397639516
420001,0.7,1.2360679775,0,1,0.7234550262487622,0.6030311137665371
420001,0.7,2.9490679775000004,0,1,0.750008832756195,0.750008832756195
420001,0.7,4.6620679775000005,0,3,0.8684116727970279,0.8684116727970279
420001,0.7,0.0918826703204143,0,1,0.7384976340457864,0.7384976340457864
420001,0.8,1.2360679775,0,1,0.8179049847650024,0.695746153437984
420001,0.8,2.9490679775000004,0,1,0.8512519030451849,0.8512519030451849
420001,0.8,4.6620679775000005,0,1,0.7366820157494735,0.6312837770890437
420001,0.8,0.0918826703204143,0,1,0.8319876980146913,0.8319876980146913
420001,0.9,1.2360679775,0,1,0.9123549432812423,0.7884885898948127
420001,0.9,2.9490679775000004,0,1,0.9520875026936911,0.9520875026936911
420001,0.9,4.6620679775000005,0,1,0.8365554322975428,0.7337943108009193
420001,0.9,0.0918826703204143,0,1,0.925280472551118,0.925280472551118
420002,0.0,1.85410196625,1,250,0.06636196140249967,2.0022123197449308e-07
420002,0.0,3.56710196625,1,250,0.06636196140249967,2.0022123197449308e-07
420002,0.0,5.28010196625,1,250,0.06636196140249967,2.0022123197449308e-07
420002,0.0,0.709916659070414,1,250,0.06636196140249967,2.0022123197449308e-07
420002,0.1,1.85410196625,1,250,0.17753668819715276,9.784877417140995e-07
420002,0.1,3.56710196625,1,250,0.11124548894952678,2.387915029646409e-06
420002,0.1,5.28010196625,1,250,0.07949465963107522,9.759876732677405e-07
420002,0.1,0.709916659070414,1,250,0.2539593242500239,1.722779821813708e-06
420002,0.2,1.85410196625,1,250,0.28204445191467065,1.5648554089973591e-06
420002,0.2,3.56710196625,1,250,0.2862981037927063,4.015365937069382e-06
420002,0.2,5.28010196625,1,250,0.1459611640325795,1.8088872654415702e-06
420002,0.2,0.709916659070414,1,250,0.42301324022178144,1.8324252216166816e-06
420002,0.3,1.85410196625,1,250,0.41796778061828394,8.949911103145131e-07
420002,0.3,3.56710196625,1,250,0.45510852385790823,4.250190035038608e-06
420002,0.3,5.28010196625,1,250,0.23027445587825604,2.5266206725521326e-06
420002,0.3,0.709916659070414,1,250,0.5779862665152817,2.1510065684025316e-06
420002,0.4,1.85410196625,0,7,1.3172206073639061,1.3172206073639061
420002,0.4,3.56710196625,0,12,1.0773571028574298,1.0773571028574298
420002,0.4,5.28010196625,1,250,0.32366258312076107,2.426894882383895e-06
420002,0.4,0.709916659070414,0,3,0.7218162255549242,0.7218162255549242
420002,0.5,1.85410196625,0,5,0.9170986335055287,0.9170986335055287
420002,0.5,3.56710196625,0,2,0.6932890298288514,0.6932890298288514
420002,0.5,5.28010196625,0,10,0.8207117926264369,0.8207117926264369
420002,0.5,0.709916659070414,0,1,0.5133863155533654,0.5133863155533654
420002,0.6,1.85410196625,0,4,0.7757648732417786,0.7757648732417786
420002,0.6,3.56710196625,0,1,0.6232669276472838,0.6232669276472838
420002,0.6,5.28010196625,0,5,0.9818925579702249,0.9818925579702249
420002,0.6,0.709916659070414,0,1,0.5875533565887284,0.5875533565887284
420002,0.7,1.85410196625,0,4,0.957351704156067,0.957351704156067
420002,0.7,3.56710196625,0,1,0.7107134558254107,0.7107134558254107
420002,0.7,5.28010196625,0,5,0.9635378734763864,0.9635378734763864
420002,0.7,0.709916659070414,0,1,0.6611603790464903,0.6611603790464903
420002,0.8,1.85410196625,0,3,0.7907747452557098,0.6377076963123518
420002,0.8,3.56710196625,0,1,0.7977976229814203,0.7977976229814203
