seed,radius,trial,success,progress,start_x,end_x
0,0.0,0,1,0.30390216592636343,-0.09985916768695605,0.20404299823940739
0,0.0,1,1,0.30390216592636343,-0.09985916768695605,0.20404299823940739
0,0.0,2,1,0.30390216592636343,-0.09985916768695605,0.20404299823940739
0,0.0,3,1,0.30390216592636343,-0.09985916768695605,0.20404299823940739
0,0.0,4,1,0.30390216592636343,-0.09985916768695605,0.20404299823940739
0,0.0,5,1,0.30390216592636343,-0.09985916768695605,0.20404299823940739
0,0.0,6,1,0.30390216592636343,-0.09985916768695605,0.20404299823940739
0,0.0,7,1,0.16641210672558598,-0.09985916768695605,0.06655293903862994
0,0.0,8,0,0.007511141458184295,-0.09985916768695605,-0.09234802622877175
0,0.0,9,0,0.007511141458184295,-0.09985916768695605,-0.09234802622877175
0,0.25,0,0,0.00736747302975975,-0.09985916768695605,-0.0924916946571963
0,0.25,1,0,0.006940436797049296,-0.09985916768695605,-0.09291873088990675
0,0.25,2,0,0.009530963241890261,-0.09985916768695605,-0.09032820444506579
0,0.25,3,0,0.007173709819206758,-0.09985916768695605,-0.09268545786774929
0,0.25,4,0,0.005733888266125864,-0.09985916768695605,-0.09412527942083018
0,0.25,5,0,0.009867009681138156,-0.09985916768695605,-0.08999215800581789
0,0.25,6,0,0.004177579861404726,-0.09985916768695605,-0.09568158782555132
0,0.25,7,0,0.009106772712348707,-0.09985916768695605,-0.09075239497460734
0,0.25,8,0,0.007563631448707364,-0.09985916768695605,-0.09229553623824868
0,0.25,9,0,0.005858728888424508,-0.09985916768695605,-0.09400043879853154
0,0.5,0,0,0.007263791352452809,-0.09985916768695605,-0.09259537633450324
0,0.5,1,0,0.006370556646896217,-0.09985916768695605,-0.09348861104005983
0,0.5,2,0,0.01154061512442646,-0.09985916768695605,-0.08831855256252959
0,0.5,3,0,0.006846860771314592,-0.09985916768695605,-0.09301230691564145
0,0.5,4,0,0.00401419745798022,-0.09985916768695605,-0.09584497022897583
0,0.5,5,0,0.012225132282377316,-0.09985916768695605,-0.08763403540457873
0,0.5,6,0,0.000853833836241491,-0.09985916768695605,-0.09900533385071456
