method,runs,mean_observed_cf_rate,mean_observed_cf_rate_sem,boundary_hit_rate,boundary_hit_rate_sem,mean_abs_distance_to_half,mean_abs_distance_to_half_sem,certificates_mean,certificates_sem
proposal_guided,3,0.5277777777777777,0.006944444444444457,0.875,0.0,0.16666666666666666,0.020833333333333336,25.333333333333332,0.33333333333333337
random_balanced,5,0.64375,0.036443449342783124,0.575,0.08477912478906584,0.25625,0.0400195264839553,20.6,1.16619037896906
