method,seeds,final_clean_mean,final_rauc_mean,final_median_r80_mean,rauc_aulc_mean,best_rauc_mean
bgr,4,0.250000,0.083333,0.710000,0.063657,0.287037
bgr_coverage,4,0.000000,0.000000,0.900000,0.033854,0.270833
bgr_uniform_radius,4,0.000000,0.000000,0.900000,0.038773,0.270833
failure_only,4,0.000000,0.000000,0.900000,0.033854,0.270833
fixed,4,0.000000,0.000000,0.900000,0.033854,0.270833
td_loss,4,0.000000,0.000000,0.900000,0.033854,0.270833
uniform,4,0.020833,0.003472,0.900000,0.034288,0.270833
