method,seed,step,clean,rauc,median_r80
bgr,1,0.0,1.0,0.2824074074074074,0.14
bgr,1,20.0,0.0,0.0,0.9
bgr,1,40.0,0.0,0.0,0.9
bgr,1,60.0,0.0,0.0,0.9
bgr,1,80.0,0.0,0.0,0.9
bgr,2,0.0,1.0,0.26851851851851855,0.13
bgr,2,20.0,0.0,0.0,0.9
bgr,2,40.0,0.16666666666666666,0.01851851851851852,0.9
bgr,2,60.0,0.0,0.0,0.9
bgr,2,80.0,0.0,0.0,0.9
bgr,3,0.0,1.0,0.2638888888888889,0.14
bgr,3,20.0,0.0,0.00462962962962963,0.9
bgr,3,40.0,0.0,0.0,0.9
bgr,3,60.0,0.0,0.0,0.9
bgr,3,80.0,0.0,0.0,0.9
