seed,replay_index,sigma,trial,success,final_distance,steps
0,0,0.0,0,1,0.042950726514616164,10
0,0,0.0,1,1,0.042950726514616164,10
0,0,0.02,0,1,0.04920601882048147,11
0,0,0.02,1,1,0.04920601882048147,11
0,0,0.04,0,1,0.048842690437266516,18
0,0,0.04,1,1,0.048842690437266516,18
0,0,0.06,0,1,0.0301965998087202,21
0,0,0.06,1,1,0.0301965998087202,21
0,0,0.08,0,1,0.04736117531901529,22
0,0,0.08,1,1,0.04736117531901529,22
0,0,0.12,0,1,0.04736117531901529,22
0,0,0.12,1,1,0.04736117531901529,22
0,1,0.0,0,1,0.04697066001648151,27
0,1,0.0,1,1,0.04697066001648151,27
0,1,0.02,0,1,0.04125485561895833,25
0,1,0.02,1,1,0.04125485561895833,25
0,1,0.04,0,0,0.4320361197002559,250
0,1,0.04,1,0,0.4320361197002559,250
0,1,0.06,0,0,0.43506742082671124,250
0,1,0.06,1,0,0.43506742082671124,250
0,1,0.08,0,0,0.44519310616739266,250
0,1,0.08,1,0,0.44519310616739266,250
0,1,0.12,0,0,0.4509846613878833,250
0,1,0.12,1,0,0.4509846613878833,250
0,2,0.0,0,0,0.6972840163984566,250
0,2,0.0,1,0,0.6972840163984566,250
0,2,0.02,0,0,0.7145138831167046,250
0,2,0.02,1,0,0.7145138831167046,250
0,2,0.04,0,0,0.7252891340640503,250
0,2,0.04,1,0,0.7252891340640503,250
0,2,0.06,0,0,0.7426130297618849,250
0,2,0.06,1,0,0.7426130297618849,250
0,2,0.08,0,0,0.7640770082850296,250
0,2,0.08,1,0,0.7640770082850296,250
0,2,0.12,0,0,0.7764386038547942,250
0,2,0.12,1,0,0.7764386038547942,250
0,3,0.0,0,1,0.02807614347561378,41
0,3,0.0,1,1,0.02807614347561378,41
0,3,0.02,0,1,0.04522069006326254,28
0,3,0.02,1,1,0.04522069006326254,28
0,3,0.04,0,1,0.042380379365211454,41
0,3,0.04,1,1,0.042380379365211454,41
0,3,0.06,0,1,0.04677246575441418,27
0,3,0.06,1,1,0.04677246575441418,27
0,3,0.08,0,1,0.03101253164527226,32
0,3,0.08,1,1,0.03101253164527226,32
0,3,0.12,0,1,0.04952218482048627,22
0,3,0.12,1,1,0.04952218482048627,22
1,0,0.0,0,1,0.03396263051617949,0
1,0,0.0,1,1,0.03396263051617949,0
1,0,0.02,0,1,0.0436764040573186,0
1,0,0.02,1,1,0.0436764040573186,0
1,0,0.04,0,1,0.0380308084387973,10
1,0,0.04,1,1,0.0380308084387973,10
1,0,0.06,0,1,0.020255862477552906,10
1,0,0.06,1,1,0.020255862477552906,10
1,0,0.08,0,1,0.03458157425965745,10
1,0,0.08,1,1,0.03458157425965745,10
1,0,0.12,0,1,0.03458157425965745,10
1,0,0.12,1,1,0.03458157425965745,10
1,1,0.0,0,1,0.037663065500821644,12
1,1,0.0,1,1,0.037663065500821644,12
1,1,0.02,0,1,0.03957138851869739,13
1,1,0.02,1,1,0.03957138851869739,13
1,1,0.04,0,1,0.03485398325684555,15
1,1,0.04,1,1,0.03485398325684555,15
1,1,0.06,0,1,0.04742648060444948,24
1,1,0.06,1,1,0.04742648060444948,24
1,1,0.08,0,1,0.02782301770521004,24
1,1,0.08,1,1,0.02782301770521004,24
1,1,0.12,0,1,0.038576927533220055,17
1,1,0.12,1,1,0.038576927533220055,17
1,2,0.0,0,1,0.03504051422870725,0
1,2,0.0,1,1,0.03504051422870725,0
1,2,0.02,0,1,0.02752695319857301,0
1,2,0.02,1,1,0.02752695319857301,0
1,2,0.04,0,1,0.03293226115119763,0
1,2,0.04,1,1,0.03293226115119763,0
1,2,0.06,0,1,0.04699191051462972,0
1,2,0.06,1,1,0.04699191051462972,0
1,2,0.08,0,1,0.04423215604833175,7
1,2,0.08,1,1,0.04423215604833175,7
1,2,0.12,0,1,0.04629584911309752,4
1,2,0.12,1,1,0.04629584911309752,4
1,3,0.0,0,1,0.025740142133978895,11
1,3,0.0,1,1,0.025740142133978895,11
1,3,0.02,0,1,0.047186043398880606,10
1,3,0.02,1,1,0.047186043398880606,10
1,3,0.04,0,1,0.04447678222197666,10
1,3,0.04,1,1,0.04447678222197666,10
1,3,0.06,0,1,0.04275523675609724,10
1,3,0.06,1,1,0.04275523675609724,10
1,3,0.08,0,1,0.040855358215063524,10
1,3,0.08,1,1,0.040855358215063524,10
1,3,0.12,0,1,0.037264598689900896,10
1,3,0.12,1,1,0.037264598689900896,10
