seed,radius,trial,success,progress,start_x,end_x,terminated
0,0.0,0,1,1.2986138442304127,0.6895642963588695,1.9881781405892822,0
0,0.0,1,1,1.2986138441947865,0.6895642963588695,1.988178140553656,0
0,0.0,2,1,1.2986138443645527,0.6895642963588695,1.9881781407234222,0
0,0.0,3,1,1.2986138441354331,0.6895642963588695,1.9881781404943026,0
0,0.0,4,1,1.298613844331158,0.6895642963588695,1.9881781406900274,0
0,0.0,5,1,1.2986138441708526,0.6895642963588695,1.988178140529722,0
0,0.0,6,1,1.2986138441709016,0.6895642963588695,1.9881781405297712,0
0,0.0,7,1,1.2986138442038007,0.6895642963588695,1.9881781405626702,0
0,0.0,8,1,1.2986138443262991,0.6895642963588695,1.9881781406851686,0
0,0.0,9,1,1.2986138442570798,0.6895642963588695,1.9881781406159493,0
0,0.25,0,1,1.312480634546861,0.6895642963588695,2.0020449309057304,0
0,0.25,1,0,0.7318238090534528,0.6895642963588695,1.4213881054123223,1
0,0.25,2,0,-0.02491584599909913,0.6895642963588695,0.6646484503597704,1
0,0.25,3,0,-0.02265918120192989,0.6895642963588695,0.6669051151569396,1
0,0.25,4,0,-0.025309914857522098,0.6895642963588695,0.6642543815013474,1
0,0.25,5,0,-0.023786279081724482,0.6895642963588695,0.665778017277145,1
0,0.25,6,0,-0.022309697475512702,0.6895642963588695,0.6672545988833568,1
0,0.25,7,0,-0.018680092540473092,0.6895642963588695,0.6708842038183964,1
0,0.25,8,0,-0.023735969168600435,0.6895642963588695,0.6658283271902691,1
0,0.25,9,0,-0.020822535706405354,0.6895642963588695,0.6687417606524642,1
0,0.5,0,0,-0.031064142807713413,0.6895642963588695,0.6585001535511561,1
0,0.5,1,0,-0.014856001520816675,0.6895642963588695,0.6747082948380528,1
0,0.5,2,0,-0.025894675318844262,0.6895642963588695,0.6636696210400252,1
0,0.5,3,0,-0.012986810824452855,0.6895642963588695,0.6765774855344167,1
0,0.5,4,0,-0.01947871944563262,0.6895642963588695,0.6700855769132369,1
0,0.5,5,0,-0.012886531252464972,0.6895642963588695,0.6766777651064045,1
0,0.5,6,0,-0.023944342418787734,0.6895642963588695,0.6656199539400818,1
0,0.5,7,0,-0.026228087053142835,0.6895642963588695,0.6633362093057267,1
0,0.5,8,0,-0.016365240858993935,0.6895642963588695,0.6731990554998756,1
0,0.5,9,0,-0.005540301575430173,0.6895642963588695,0.6840239947834393,1
0,0.8,0,0,-0.019891142048966026,0.6895642963588695,0.6696731543099035,1
0,0.8,1,0,-0.005737966376098136,0.6895642963588695,0.6838263299827714,1
0,0.8,2,0,-0.021152431002131378,0.6895642963588695,0.6684118653567381,1
0,0.8,3,0,-0.026012591101349902,0.6895642963588695,0.6635517052575196,1
0,0.8,4,0,-0.018245181661778465,0.6895642963588695,0.671319114697091,1
0,0.8,5,0,-0.018433208637276044,0.6895642963588695,0.6711310877215935,1
0,0.8,6,0,-0.023506037724795648,0.6895642963588695,0.6660582586340739,1
0,0.8,7,0,-0.005647341338502865,0.6895642963588695,0.6839169550203666,1
0,0.8,8,0,-0.03495396774726145,0.6895642963588695,0.6546103286116081,1
0,0.8,9,0,-0.020645451659790814,0.6895642963588695,0.6689188446990787,1
0,1.1,0,0,-0.011643106127931069,0.6895642963588695,0.6779211902309384,1
0,1.1,1,0,-0.009364625471168897,0.6895642963588695,0.6801996708877006,1
0,1.1,2,0,-0.006101022285186164,0.6895642963588695,0.6834632740736833,1
0,1.1,3,0,-0.012604676041236607,0.6895642963588695,0.6769596203176329,1
0,1.1,4,0,-0.03526048054748476,0.6895642963588695,0.6543038158113847,1
0,1.1,5,0,-0.021655802717189476,0.6895642963588695,0.66790849364168,1
0,1.1,6,0,-0.02444591961162823,0.6895642963588695,0.6651183767472413,1
0,1.1,7,0,-0.019927713038365047,0.6895642963588695,0.6696365833205045,1
0,1.1,8,0,-0.015300819511508301,0.6895642963588695,0.6742634768473612,1
0,1.1,9,0,-0.015040576797622163,0.6895642963588695,0.6745237195612473,1
0,1.5,0,0,-0.016416852081788003,0.6895642963588695,0.6731474442770815,1
0,1.5,1,0,-0.02898875937438994,0.6895642963588695,0.6605755369844796,1
0,1.5,2,0,-0.011799051459899568,0.6895642963588695,0.6777652448989699,1
0,1.5,3,0,-0.04079007971474424,0.6895642963588695,0.6487742166441253,1
0,1.5,4,0,0.0038387099238935685,0.6895642963588695,0.6934030062827631,1
0,1.5,5,0,-0.030169802976632076,0.6895642963588695,0.6593944933822374,1
0,1.5,6,0,-0.03812190170148544,0.6895642963588695,0.6514423946573841,1
0,1.5,7,0,0.016220097821725732,0.6895642963588695,0.7057843941805952,1
0,1.5,8,0,-0.041803952626645824,0.6895642963588695,0.6477603437322237,1
0,1.5,9,0,-0.04607420363713488,0.6895642963588695,0.6434900927217346,1
0,2.0,0,0,-0.008896195232702242,0.6895642963588695,0.6806681011261673,1
0,2.0,1,0,0.06952776610463307,0.6895642963588695,0.7590920624635026,1
0,2.0,2,0,-0.03911314669657884,0.6895642963588695,0.6504511496622907,1
0,2.0,3,0,0.047533005578300536,0.6895642963588695,0.73709730193717,1
0,2.0,4,0,-0.0052730028562004705,0.6895642963588695,0.684291293502669,1
0,2.0,5,0,-0.041012034764879246,0.6895642963588695,0.6485522615939903,1
0,2.0,6,0,0.0060849231751624044,0.6895642963588695,0.6956492195340319,1
0,2.0,7,0,-0.03519477161546003,0.6895642963588695,0.6543695247434095,1
0,2.0,8,0,0.06513113688691763,0.6895642963588695,0.7546954332457871,1
0,2.0,9,0,-0.03210972323661887,0.6895642963588695,0.6574545731222506,1
0,2.5,0,0,0.006069387243740287,0.6895642963588695,0.6956336836026098,1
0,2.5,1,0,-0.04859121119309939,0.6895642963588695,0.6409730851657701,1
0,2.5,2,0,0.03069226280526338,0.6895642963588695,0.7202565591641329,1
0,2.5,3,0,0.07187305404444344,0.6895642963588695,0.761437350403313,1
0,2.5,4,0,-0.0369845015161977,0.6895642963588695,0.6525797948426718,1
0,2.5,5,0,-0.01972464062796242,0.6895642963588695,0.6698396557309071,1
0,2.5,6,0,-0.048123900409211884,0.6895642963588695,0.6414403959496576,1
0,2.5,7,0,-0.03291093385350485,0.6895642963588695,0.6566533625053647,1
0,2.5,8,0,-0.03502436673472453,0.6895642963588695,0.654539929624145,1
0,2.5,9,0,-0.024752499475393375,0.6895642963588695,0.6648117968834761,1
1,0.0,0,1,1.362951244721621,0.7872375235529058,2.1501887682745267,0
1,0.0,1,1,1.3629512447335088,0.7872375235529058,2.1501887682864145,0
1,0.0,2,1,1.3629512447291585,0.7872375235529058,2.150188768282064,0
1,0.0,3,1,1.3629512447340462,0.7872375235529058,2.150188768286952,0
1,0.0,4,1,1.362951244721696,0.7872375235529058,2.1501887682746017,0
1,0.0,5,1,1.362951244732284,0.7872375235529058,2.1501887682851897,0
1,0.0,6,1,1.3629512447243246,0.7872375235529058,2.1501887682772303,0
1,0.0,7,1,1.3629512447217396,0.7872375235529058,2.1501887682746452,0
1,0.0,8,1,1.362951244728746,0.7872375235529058,2.1501887682816516,0
1,0.0,9,1,1.3629512447371295,0.7872375235529058,2.150188768290035,0
1,0.25,0,1,1.260620810290154,0.7872375235529058,2.0478583338430596,0
1,0.25,1,0,0.4822502619694756,0.7872375235529058,1.2694877855223814,1
1,0.25,2,0,-0.020596519054235873,0.7872375235529058,0.7666410044986699,1
1,0.25,3,0,-0.01474492115628978,0.7872375235529058,0.772492602396616,1
1,0.25,4,0,-0.025907849008131145,0.7872375235529058,0.7613296745447746,1
1,0.25,5,0,-0.0158391304533837,0.7872375235529058,0.7713983930995221,1
1,0.25,6,0,-0.017296218780311956,0.7872375235529058,0.7699413047725938,1
1,0.25,7,0,-0.025935343340059314,0.7872375235529058,0.7613021802128465,1
1,0.25,8,0,-0.018797830638332624,0.7872375235529058,0.7684396929145731,1
1,0.25,9,0,-0.018443723959247427,0.7872375235529058,0.7687937995936583,1
1,0.5,0,0,-0.013714684271725175,0.7872375235529058,0.7735228392811806,1
1,0.5,1,0,-0.004671473760360367,0.7872375235529058,0.7825660497925454,1
1,0.5,2,0,-0.012376304526072968,0.7872375235529058,0.7748612190268328,1
1,0.5,3,0,-0.027298006327629243,0.7872375235529058,0.7599395172252765,1
1,0.5,4,0,-0.014416886916217897,0.7872375235529058,0.7728206366366879,1
1,0.5,5,0,-0.019756164590119307,0.7872375235529058,0.7674813589627865,1
1,0.5,6,0,-0.02935608060959738,0.7872375235529058,0.7578814429433084,1
1,0.5,7,0,-0.02738345863988667,0.7872375235529058,0.7598540649130191,1
1,0.5,8,0,-0.01062087442637627,0.7872375235529058,0.7766166491265295,1
1,0.5,9,0,-0.02755104365399974,0.7872375235529058,0.759686479898906,1
1,0.8,0,0,0.0020263058207304896,0.7872375235529058,0.7892638293736363,1
1,0.8,1,0,-0.022974230783364136,0.7872375235529058,0.7642632927695416,1
1,0.8,2,0,0.003809826526053439,0.7872375235529058,0.7910473500789592,1
1,0.8,3,0,-0.001538028004646419,0.7872375235529058,0.7856994955482594,1
1,0.8,4,0,-0.013876584180373075,0.7872375235529058,0.7733609393725327,1
1,0.8,5,0,-0.017060963864772294,0.7872375235529058,0.7701765596881335,1
1,0.8,6,0,-0.007946960812388326,0.7872375235529058,0.7792905627405174,1
1,0.8,7,0,-0.018412707693953423,0.7872375235529058,0.7688248158589523,1
1,0.8,8,0,-0.0066591432200708844,0.7872375235529058,0.7805783803328349,1
1,0.8,9,0,-0.012628062993487288,0.7872375235529058,0.7746094605594185,1
1,1.1,0,0,-0.04741073709323984,0.7872375235529058,0.7398267864596659,1
1,1.1,1,0,-0.013138859477748288,0.7872375235529058,0.7740986640751575,1
1,1.1,2,0,-0.01271572203513116,0.7872375235529058,0.7745218015177746,1
1,1.1,3,0,-0.014228566553130984,0.7872375235529058,0.7730089569997748,1
1,1.1,4,0,0.0003546049042733035,0.7872375235529058,0.7875921284571791,1
1,1.1,5,0,-0.01782521831663464,0.7872375235529058,0.7694123052362711,1
1,1.1,6,0,-0.029850615865977814,0.7872375235529058,0.757386907686928,1
1,1.1,7,0,-0.0032035548421854854,0.7872375235529058,0.7840339687107203,1
1,1.1,8,0,-0.006611793631748797,0.7872375235529058,0.780625729921157,1
1,1.1,9,0,0.01322588020509663,0.7872375235529058,0.8004634037580024,1
1,1.5,0,0,-0.008165884159892722,0.7872375235529058,0.779071639393013,1
1,1.5,1,0,-0.04169470441560752,0.7872375235529058,0.7455428191372983,1
1,1.5,2,0,-0.013939020010224956,0.7872375235529058,0.7732985035426808,1
1,1.5,3,0,-0.027843399823686443,0.7872375235529058,0.7593941237292193,1
1,1.5,4,0,-0.0021762394287072606,0.7872375235529058,0.7850612841241985,1
1,1.5,5,0,-0.011591430951719994,0.7872375235529058,0.7756460926011858,1
1,1.5,6,0,0.010903029468136927,0.7872375235529058,0.7981405530210427,1
1,1.5,7,0,0.0041307070019501735,0.7872375235529058,0.791368230554856,1
1,1.5,8,0,-0.048613231687350655,0.7872375235529058,0.7386242918655551,1
1,1.5,9,0,-0.013938549289168156,0.7872375235529058,0.7732989742637376,1
1,2.0,0,0,-0.01848039255481293,0.7872375235529058,0.7687571309980928,1
1,2.0,1,0,0.014246448650153676,0.7872375235529058,0.8014839722030594,1
1,2.0,2,0,-0.005480319977520298,0.7872375235529058,0.7817572035753855,1
1,2.0,3,0,-0.027164057807439135,0.7872375235529058,0.7600734657454666,1
1,2.0,4,0,0.009715557540367015,0.7872375235529058,0.7969530810932728,1
1,2.0,5,0,0.00877830970505733,0.7872375235529058,0.7960158332579631,1
1,2.0,6,0,-0.048979329954975115,0.7872375235529058,0.7382581935979307,1
1,2.0,7,0,0.019666302169803362,0.7872375235529058,0.8069038257227091,1
1,2.0,8,0,-0.05487521649382321,0.7872375235529058,0.7323623070590826,1
1,2.0,9,0,-0.025430561344319313,0.7872375235529058,0.7618069622085865,1
1,2.5,0,0,0.02200349828040782,0.7872375235529058,0.8092410218333136,1
1,2.5,1,0,-0.009242720105453572,0.7872375235529058,0.7779948034474522,1
1,2.5,2,0,-0.037473798569213956,0.7872375235529058,0.7497637249836918,1
1,2.5,3,0,0.05646514573941663,0.7872375235529058,0.8437026692923224,1
1,2.5,4,0,-0.004020012888168112,0.7872375235529058,0.7832175106647377,1
1,2.5,5,0,0.0009759111876054272,0.7872375235529058,0.7882134347405112,1
1,2.5,6,0,-0.02100569646124184,0.7872375235529058,0.7662318270916639,1
1,2.5,7,0,-0.007677393925209608,0.7872375235529058,0.7795601296276962,1
1,2.5,8,0,-0.06270369877096926,0.7872375235529058,0.7245338247819365,1
1,2.5,9,0,0.024128158357613394,0.7872375235529058,0.8113656819105192,1
2,0.0,0,1,1.2320447616596737,0.6939012038878438,1.9259459655475175,0
2,0.0,1,1,1.2320447616598555,0.6939012038878438,1.9259459655476994,0
2,0.0,2,1,1.2320447616597914,0.6939012038878438,1.9259459655476352,0
2,0.0,3,1,1.232044761659614,0.6939012038878438,1.9259459655474578,0
2,0.0,4,1,1.2320447616596277,0.6939012038878438,1.9259459655474716,0
2,0.0,5,1,1.2320447616603993,0.6939012038878438,1.9259459655482432,0
2,0.0,6,1,1.23204476165907,0.6939012038878438,1.9259459655469138,0
2,0.0,7,1,1.2320447616598367,0.6939012038878438,1.9259459655476805,0
2,0.0,8,1,1.2320447616615429,0.6939012038878438,1.9259459655493867,0
2,0.0,9,1,1.2320447616594303,0.6939012038878438,1.9259459655472742,0
2,0.25,0,1,1.195251172942863,0.6939012038878438,1.8891523768307068,0
2,0.25,1,0,0.4555519218211237,0.6939012038878438,1.1494531257089675,1
2,0.25,2,0,-0.023895735512124094,0.6939012038878438,0.6700054683757197,1
2,0.25,3,0,-0.016507993515962105,0.6939012038878438,0.6773932103718817,1
2,0.25,4,0,-0.017970671729385157,0.6939012038878438,0.6759305321584587,1
2,0.25,5,0,-0.02252989937954264,0.6939012038878438,0.6713713045083012,1
2,0.25,6,0,-0.01301908900395432,0.6939012038878438,0.6808821148838895,1
2,0.25,7,0,-0.017293559103124023,0.6939012038878438,0.6766076447847198,1
2,0.25,8,0,-0.022242151537180233,0.6939012038878438,0.6716590523506636,1
2,0.25,9,0,-0.01827147364448467,0.6939012038878438,0.6756297302433592,1
2,0.5,0,0,-0.026313165004643313,0.6939012038878438,0.6675880388832005,1
2,0.5,1,0,-0.012376795858023648,0.6939012038878438,0.6815244080298202,1
2,0.5,2,0,-0.010207859836952049,0.6939012038878438,0.6836933440508918,1
2,0.5,3,0,-0.012599999550512053,0.6939012038878438,0.6813012043373318,1
2,0.5,4,0,-0.02612984883807956,0.6939012038878438,0.6677713550497643,1
2,0.5,5,0,-0.01307464046220741,0.6939012038878438,0.6808265634256364,1
2,0.5,6,0,-0.01959308267296167,0.6939012038878438,0.6743081212148822,1
2,0.5,7,0,-0.015547045330877363,0.6939012038878438,0.6783541585569665,1
2,0.5,8,0,-0.017008503844334943,0.6939012038878438,0.6768927000435089,1
2,0.5,9,0,-0.021980267855058577,0.6939012038878438,0.6719209360327852,1
2,0.8,0,0,-0.016967725851812387,0.6939012038878438,0.6769334780360314,1
2,0.8,1,0,-0.010746503274333463,0.6939012038878438,0.6831547006135104,1
2,0.8,2,0,-0.0165247890076059,0.6939012038878438,0.6773764148802379,1
2,0.8,3,0,-0.03279285910339236,0.6939012038878438,0.6611083447844515,1
2,0.8,4,0,-0.008640746679306921,0.6939012038878438,0.6852604572085369,1
2,0.8,5,0,-0.0066341192724403975,0.6939012038878438,0.6872670846154034,1
2,0.8,6,0,-0.010140934938915103,0.6939012038878438,0.6837602689489287,1
2,0.8,7,0,-0.011299411194041431,0.6939012038878438,0.6826017926938024,1
2,0.8,8,0,-0.019285919638639015,0.6939012038878438,0.6746152842492048,1
2,0.8,9,0,-0.0023515805648612886,0.6939012038878438,0.6915496233229825,1
2,1.1,0,0,0.007507736043023794,0.6939012038878438,0.7014089399308676,1
2,1.1,1,0,-0.012617360869543237,0.6939012038878438,0.6812838430183006,1
2,1.1,2,0,-0.01395541404991929,0.6939012038878438,0.6799457898379245,1
2,1.1,3,0,-0.018358722673219252,0.6939012038878438,0.6755424812146246,1
2,1.1,4,0,-0.021456568196929315,0.6939012038878438,0.6724446356909145,1
2,1.1,5,0,-0.008099846219340456,0.6939012038878438,0.6858013576685034,1
2,1.1,6,0,0.04047260448275691,0.6939012038878438,0.7343738083706007,1
2,1.1,7,0,-0.005791315589270707,0.6939012038878438,0.6881098882985731,1
2,1.1,8,0,-0.0049032135934686805,0.6939012038878438,0.6889979902943751,1
2,1.1,9,0,-0.0021486344992500683,0.6939012038878438,0.6917525693885938,1
2,1.5,0,0,-0.04541165211709275,0.6939012038878438,0.6484895517707511,1
2,1.5,1,0,-0.0065806637593055495,0.6939012038878438,0.6873205401285383,1
2,1.5,2,0,0.025112763845344,0.6939012038878438,0.7190139677331878,1
2,1.5,3,0,-0.02401215137555235,0.6939012038878438,0.6698890525122915,1
2,1.5,4,0,-0.020633651551571264,0.6939012038878438,0.6732675523362726,1
2,1.5,5,0,0.015657159444072755,0.6939012038878438,0.7095583633319166,1
2,1.5,6,0,-0.023437801301048555,0.6939012038878438,0.6704634025867953,1
2,1.5,7,0,0.027602801957878453,0.6939012038878438,0.7215040058457223,1
2,1.5,8,0,-0.032977542675395544,0.6939012038878438,0.6609236612124483,1
2,1.5,9,0,-0.024668002376222797,0.6939012038878438,0.669233201511621,1
2,2.0,0,0,0.02319300754151743,0.6939012038878438,0.7170942114293613,1
2,2.0,1,0,-0.01994354537531029,0.6939012038878438,0.6739576585125335,1
2,2.0,2,0,0.0031278343384116836,0.6939012038878438,0.6970290382262555,1
