method,seeds,final_clean_mean,final_rauc_mean,final_median_r80_mean,rauc_aulc_mean,best_rauc_mean
bgr,4,1.000000,0.750000,0.210000,0.694661,0.750000
bgr_coverage,4,1.000000,0.750000,0.210000,0.688021,0.750000
bgr_uniform_radius,4,1.000000,0.750000,0.210000,0.699740,0.750000
failure_only,4,1.000000,0.750000,0.210000,0.649349,0.750000
fixed,4,1.000000,0.750000,0.210000,0.695833,0.750000
td_loss,4,1.000000,0.750000,0.210000,0.597396,0.750000
uniform,4,1.000000,0.750000,0.210000,0.676997,0.750000
