method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
uniform,0,0.8390224949151046,0.48494938149173594,0.5084584963999339,0.3061105432335846,0.3716202477411636,0.48494938149173594
uniform,1,0.835206978085813,0.4864785200999877,0.5032200418682832,0.30868544939541687,0.3708638862473938,0.4864785200999877
uniform,2,0.8432611791440648,0.4865344159572599,0.49587188623880046,0.3082327265440051,0.37378057173417545,0.4865344159572599
uniform,3,0.8270371757570683,0.4798252073178205,0.5035372592235159,0.304687171991069,0.36572466916541063,0.4798252073178205
uniform,4,0.8393447014843376,0.4891368656617828,0.5050410875796512,0.3129748581046397,0.3757985768779345,0.4891368656617828
uniform,5,0.8353806506351181,0.4875237158723928,0.5093518184366242,0.31175756606716987,0.37406544797186553,0.4875237158723928
uniform,6,0.8342174560134336,0.47973444971251966,0.4957804163823858,0.30846670757311917,0.36850860492588666,0.47973444971251966
uniform,7,0.8386812350272446,0.479512214611054,0.5024847338237796,0.30583470069458657,0.36886121744093964,0.479512214611054
uniform,8,0.8377747960061387,0.4879800490448197,0.5101902417623838,0.3045360800657733,0.36991718831587894,0.4879800490448197
uniform,9,0.8368679127955575,0.4824332796015472,0.5046516745937599,0.3067946131371955,0.37073403553375167,0.4824332796015472
uniform,10,0.8365625824614416,0.48474157236183024,0.5069745127654737,0.30668347532960993,0.3714055210386025,0.48474157236183024
uniform,11,0.8286904920129525,0.4794586872564732,0.5029349592479218,0.3015716469109756,0.36504219663538234,0.4794586872564732
uniform,12,0.8366818929762161,0.4901365248752684,0.5047486255625568,0.3106614935397342,0.37376266116006474,0.4901365248752684
uniform,13,0.8344821508554037,0.4865149971971398,0.510758251636013,0.30908510694575303,0.3709669871783384,0.4865149971971398
uniform,14,0.8338014703668307,0.48171125491505923,0.504753423428645,0.30713997478531035,0.36940225277318317,0.48171125491505923
uniform,15,0.8420171342075814,0.4903132787208127,0.5041718220747362,0.31441171020103675,0.375157277441232,0.4903132787208127
uniform,16,0.8370601012181852,0.48721848112818156,0.5072711716080103,0.30900289066912995,0.3703680255439771,0.48721848112818156
uniform,17,0.8347769939096982,0.48542131741208544,0.510963354746891,0.30740577076041853,0.36968312024170713,0.48542131741208544
uniform,18,0.8382174695145701,0.48766970533685616,0.5034716542758195,0.3059627824891313,0.3684738633981711,0.48766970533685616
uniform,19,0.8354303167589318,0.4845994999093341,0.495302695941532,0.3094044251494486,0.37258221948176173,0.4845994999093341
uniform,20,0.8311206071077901,0.47962103006312884,0.500422158513061,0.3031218214387863,0.3650307235978006,0.47962103006312884
uniform,21,0.8319395796352439,0.478196211373447,0.49378271725752365,0.31188252399009414,0.36975028605177307,0.478196211373447
uniform,22,0.8392894849905066,0.485139403618109,0.5038208438610001,0.3058719629184099,0.3692305366107701,0.485139403618109
uniform,23,0.8359964626497204,0.48743771001300684,0.5065101938099115,0.3083259450559877,0.3745072356878799,0.48743771001300684
uniform,24,0.8353808713804687,0.4858823769723032,0.5116451989217538,0.30954761876120557,0.3717647867967775,0.4858823769723032
uniform,25,0.8370153232893621,0.48909128691408343,0.5078054468981748,0.313693321154073,0.37469348788364043,0.48909128691408343
uniform,26,0.8345696389805061,0.484204815770572,0.5043609981285068,0.30370308385719263,0.3665595036264243,0.484204815770572
uniform,27,0.8437168991458758,0.49501914838637817,0.5104260543306549,0.3128906657009208,0.3762884568210983,0.49501914838637817
uniform,28,0.8414689558063195,0.48585291455359236,0.5015777617416485,0.30981826895889253,0.37180825605282763,0.48585291455359236
uniform,29,0.8372238049532363,0.4882332591275464,0.5106870656170888,0.3093687898956801,0.3719644803218186,0.4882332591275464
bgr_boundary,0,0.8717467713741436,0.4566082431700304,0.428002338698424,0.28140894994132815,0.3709817267737516,0.4566082431700304
bgr_boundary,1,0.871296015388398,0.4603020542504824,0.4291709289303517,0.27841475805474314,0.36599778011767403,0.4603020542504824
bgr_boundary,2,0.8752537883768065,0.45580230195908994,0.4225679097097439,0.2821126742964152,0.36867973362321377,0.45580230195908994
bgr_boundary,3,0.8656919461553959,0.455526742596341,0.4390780820075655,0.2816302034727637,0.3665135381149499,0.455526742596341
bgr_boundary,4,0.8769933630032436,0.4664498962352193,0.4297946437289375,0.2896333669867248,0.37552866395411155,0.4664498962352193
bgr_boundary,5,0.8714089400575539,0.459437944628753,0.4361803879503796,0.2866677092694221,0.3697767849182444,0.459437944628753
bgr_boundary,6,0.868976986875868,0.45235990110480484,0.423443434231474,0.2816749788086792,0.3637071424566584,0.45235990110480484
bgr_boundary,7,0.8736053119485677,0.4644283410736479,0.4413322887316759,0.2856659076398323,0.3739013487016523,0.4644283410736479
bgr_boundary,8,0.8734446665706344,0.45999331567796903,0.43080112911006757,0.2779839983526011,0.3665079258827002,0.45999331567796903
bgr_boundary,9,0.871829507216641,0.4587615326286813,0.4294988818678852,0.28323064545695714,0.36907601025425163,0.4587615326286813
bgr_boundary,10,0.8731298425069773,0.45965024833225065,0.4277417043715043,0.27809636264959753,0.3709467464624978,0.45965024833225065
bgr_boundary,11,0.8676002129382903,0.45507533324516214,0.42598823336338953,0.2812402044621807,0.3684960922548592,0.45507533324516214
