scenario,seed,attempted_samples,accepted_samples,accepted_fraction,true_valid_accept_rate,invalid_accept_rate,boundary_hit_accept_rate,true_boundary_recall,mean_abs_boundary_error,clean,rauc,median_r80
false_negative_10,10,8640,7749,0.896875,1.0,0.0,0.6785391663440444,0.8983427302238168,0.06728587298479861,0.8177722215559847,0.21182768429486892,0.13433889704098118
false_negative_10,11,8640,7781,0.9005787037037037,1.0,0.0,0.6725356637964272,0.8980607516732453,0.0680884398974913,0.8205736444199782,0.2164565096652703,0.13816417838396156
false_negative_10,12,8640,7767,0.8989583333333333,1.0,0.0,0.6855928930088837,0.9017781541066893,0.06598427200379517,0.8211051240711564,0.21608305771968744,0.13842362704092706
false_negative_10,13,8640,7748,0.8967592592592593,1.0,0.0,0.6765616933402169,0.8933197000681663,0.06710881468550266,0.8165203419233047,0.21577341385041832,0.14037985862415503
false_negative_10,14,8640,7748,0.8967592592592593,1.0,0.0,0.6894682498709345,0.8964591374391676,0.06542783031640768,0.8170142872275759,0.21410892988657132,0.13041611111696694
false_negative_10,15,8640,7768,0.899074074074074,1.0,0.0,0.6719876416065912,0.8969072164948454,0.06690103651580316,0.8238754340207478,0.2197813847629386,0.13704386593139428
false_negative_10,16,8640,7753,0.897337962962963,1.0,0.0,0.6928930736489101,0.9008888143551903,0.06593774380010403,0.8190798872797352,0.21336449976899405,0.129910138894156
false_negative_10,17,8640,7749,0.896875,1.0,0.0,0.6835720738159763,0.8968845242126651,0.06706183176617955,0.8160675966974161,0.21541872080470195,0.13754493177307092
false_negative_10,18,8640,7736,0.8953703703703704,1.0,0.0,0.6667528438469493,0.8939341421143847,0.06815247880398911,0.8195192385279537,0.2187812181209384,0.1444024263422641
false_negative_10,19,8640,7776,0.9,1.0,0.0,0.6863425925925926,0.9030456852791878,0.06604857272341641,0.8169527371895078,0.2137991548351536,0.13737154017836703
false_negative_10,20,8640,7805,0.9033564814814815,1.0,0.0,0.6818705957719411,0.9081911262798635,0.06646315937014671,0.8183114000403162,0.21426813089384752,0.13468771254609535
false_negative_10,21,8640,7762,0.8983796296296296,1.0,0.0,0.6821695439319763,0.8988287217789849,0.06670918655683487,0.8248680256103456,0.21805879172435955,0.13709444924079808
false_negative_10,22,8640,7802,0.9030092592592592,1.0,0.0,0.6822609587285311,0.9069688192196286,0.06704875525551407,0.8177272921887118,0.21357598100919317,0.1348768035120998
false_negative_10,23,8640,7792,0.9018518518518519,1.0,0.0,0.696611909650924,0.901810932048513,0.06549398830374356,0.8199544035255238,0.21721459475859564,0.13779220990146052
false_negative_10,24,8640,7728,0.8944444444444445,1.0,0.0,0.6816770186335404,0.8936386768447837,0.06683987428185907,0.8211111756662379,0.217192645957743,0.13651490682107087
false_negative_10,25,8640,7782,0.9006944444444445,1.0,0.0,0.6962220508866616,0.9020979020979021,0.06551770498789841,0.8204684322961331,0.21527572887524576,0.13486219833603005
false_negative_10,26,8640,7739,0.8957175925925925,1.0,0.0,0.6807081018219409,0.8954614992350841,0.06760767983581872,0.8192055442892527,0.21943681431117332,0.13705260212528497
false_negative_10,27,8640,7742,0.8960648148148148,1.0,0.0,0.677086024283131,0.8954560983942603,0.06670539074848969,0.8214906288820897,0.21727449233917107,0.14044809396912528
