method,target_margin,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
bgr,0.26,0,0.953616993670049,0.44236559018543253,0.35123772352579896,0.35967987597591705,0.44236559018543253
bgr,0.26,1,0.9516075472615638,0.4412990324542779,0.35031600844505545,0.35664828694526457,0.4412990324542779
bgr,0.26,2,0.9544998787779259,0.44498750447816177,0.34780495813124346,0.3599161050235882,0.44498750447816177
bgr,0.26,3,0.9476985862327165,0.4459348165133987,0.3568763668310766,0.36289255793494957,0.4459348165133987
bgr,0.26,4,0.9538553070018496,0.44428846037259684,0.35183425008550984,0.36173748283101803,0.44428846037259684
bgr,0.26,5,0.9504550820368741,0.44413667722297356,0.3509549678178845,0.3590292109772004,0.44413667722297356
bgr,0.26,6,0.9519352949849028,0.4461641138047604,0.3549601340183571,0.3616635577874179,0.4461641138047604
bgr,0.26,7,0.9538380095975125,0.4419440295242595,0.3482606724737662,0.356535965682694,0.4419440295242595
bgr,0.26,8,0.9504239599879718,0.44212586826079947,0.3517697652245595,0.3574196820152377,0.44212586826079947
bgr,0.26,9,0.949567118857949,0.44147757209983607,0.35116277184383415,0.35742674255872053,0.44147757209983607
bgr,0.26,10,0.9477133235623433,0.43923951451205334,0.35557297684339084,0.35615764359160906,0.43923951451205334
bgr,0.26,11,0.9469036939575868,0.4418478575015173,0.3555899144951166,0.3578873006420892,0.4418478575015173
bgr,0.26,12,0.948770189592643,0.44311718624267954,0.3525409744260688,0.359238831605717,0.44311718624267954
bgr,0.26,13,0.9525633202319609,0.4399978349477102,0.34458968239249443,0.3560312557863194,0.4399978349477102
bgr,0.26,14,0.9539488555203772,0.44477605437325507,0.34802056385282754,0.35867657055757074,0.44477605437325507
bgr,0.26,15,0.9507396204568273,0.44386929066247816,0.35171661075333943,0.36063565696468924,0.44386929066247816
bgr,0.26,16,0.9531840082604968,0.4402276028287264,0.3421171351142014,0.3558696319910375,0.4402276028287264
bgr,0.26,17,0.9473294017888242,0.44408959775865103,0.3582166824837838,0.35949918766247546,0.44408959775865103
bgr,0.26,18,0.9502828048154804,0.4417094422761784,0.35231983617177265,0.3586707649629719,0.4417094422761784
bgr,0.26,19,0.951410657873719,0.44160020938322986,0.34970221781329075,0.35740148396056254,0.44160020938322986
bgr,0.26,20,0.9497117537279234,0.4396095057723846,0.351722915544119,0.35586733088569,0.4396095057723846
bgr,0.26,21,0.9457277520166726,0.4440110182925832,0.35688595192638484,0.36159028340848676,0.4440110182925832
bgr,0.26,22,0.9474253887174832,0.4440956213754603,0.353121189004978,0.3592021996090483,0.4440956213754603
bgr,0.26,23,0.9478911609043561,0.44305499880749727,0.35596329558298134,0.3601125884912531,0.44305499880749727
bgr,0.26,24,0.952996903252396,0.44359222917956614,0.3484330944188901,0.35942117405751406,0.44359222917956614
bgr,0.26,25,0.9517336191047258,0.44317450346485604,0.3514358812295417,0.3591830091163619,0.44317450346485604
bgr,0.26,26,0.949092798683922,0.44208546779091074,0.3500305046981722,0.35881577936948655,0.44208546779091074
bgr,0.26,27,0.9532412557076283,0.44261614430192026,0.3536089129683492,0.3582044057816118,0.44261614430192026
bgr,0.26,28,0.9508577800002701,0.44267689706156205,0.35028744962829095,0.35839953942051317,0.44267689706156205
bgr,0.26,29,0.9524501293013963,0.4399832248439446,0.350471930645222,0.3565119255294825,0.4399832248439446
bgr,0.32,0,0.9532739185451473,0.4404266437224498,0.34876242496561655,0.3569823816255472,0.4404266437224498
bgr,0.32,1,0.9484228518556983,0.4375069168341498,0.3470226118023728,0.3538259173322215,0.4375069168341498
bgr,0.32,2,0.9525346280719633,0.4413027229755545,0.3447968949024574,0.357443316061745,0.4413027229755545
bgr,0.32,3,0.9442671259357334,0.44220113648434917,0.3519250216791849,0.3600354019623405,0.44220113648434917
bgr,0.32,4,0.9535031468812234,0.44075700973902343,0.35114295545969487,0.35861980837721436,0.44075700973902343
bgr,0.32,5,0.9474764133500811,0.4390539809168748,0.3497314047441854,0.3554770238207892,0.4390539809168748
bgr,0.32,6,0.948350986861151,0.44351876003634694,0.3547992378966618,0.35982184905306713,0.44351876003634694
bgr,0.32,7,0.9513865748226124,0.43774358549768444,0.3470730764901255,0.3540547130349303,0.43774358549768444
bgr,0.32,8,0.9477231894729834,0.43740142968814133,0.3496608510579633,0.35403770401974616,0.43740142968814133
bgr,0.32,9,0.9487284089106808,0.4368475365162653,0.3449645985414306,0.3544138986808909,0.4368475365162653
bgr,0.32,10,0.9465662466142286,0.43494071273315565,0.3519444187588594,0.3520906164709794,0.43494071273315565
bgr,0.32,11,0.9453900609895146,0.4376310789901558,0.35139170671395725,0.3548236147421204,0.4376310789901558
bgr,0.32,12,0.9456977360931544,0.4402551281576848,0.34923565099158616,0.3563110726627132,0.4402551281576848
bgr,0.32,13,0.9517610318829507,0.43697611199884817,0.34511952522179673,0.35370574051662723,0.43697611199884817
bgr,0.32,14,0.9541924074469165,0.43863669877532313,0.34371610358591415,0.35487542611542194,0.43863669877532313
bgr,0.32,15,0.9494318347593816,0.4413149743738344,0.3467667620248298,0.3586263424950168,0.4413149743738344
bgr,0.32,16,0.9508010073224764,0.435362864727744,0.33877910247151277,0.3522195496993836,0.435362864727744
bgr,0.32,17,0.9455810920152392,0.4408684131584515,0.3536918418789575,0.35689715068899036,0.4408684131584515
bgr,0.32,18,0.9479863072962469,0.43994103925203487,0.34773143725090894,0.35630197466508234,0.43994103925203487
bgr,0.32,19,0.9493803874868483,0.4375566076822922,0.34759553681017685,0.35381165655682506,0.4375566076822922
bgr,0.32,20,0.9479196457225767,0.4374138887779724,0.3500959750229341,0.3546667163253354,0.4374138887779724
bgr,0.32,21,0.9438599943893126,0.4432533236550173,0.3554805046418812,0.359835955212353,0.4432533236550173
bgr,0.32,22,0.9450879343205546,0.4406198277651406,0.3523888264783381,0.3561609020763678,0.4406198277651406
bgr,0.32,23,0.9462864524626111,0.4412355714224493,0.3512834630147821,0.3582105232170474,0.4412355714224493
bgr,0.32,24,0.9499707244705207,0.43818809752726634,0.34673619542241496,0.3561720984203681,0.43818809752726634
bgr,0.32,25,0.9503016335640121,0.439900953738047,0.34977569691019794,0.35693346063786807,0.439900953738047
bgr,0.32,26,0.9474880225806815,0.43648465216438925,0.3452459883837021,0.35496975032763284,0.43648465216438925
bgr,0.32,27,0.9505407513090246,0.4391013682260226,0.3496204291680756,0.3556955322698089,0.4391013682260226
bgr,0.32,28,0.9484241964084595,0.43954921484366233,0.35069390721461036,0.356287236257263,0.43954921484366233
bgr,0.32,29,0.9513359659261756,0.43798671189870836,0.34599876192934875,0.3552256838581164,0.43798671189870836
