config_id,mode,target_radius,fixed_radius,lr,init_noise,iterations,eval_every,batch,method,seed,final_rauc,final_clean,final_median_r80,rauc_aulc
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,2,0.49464285714285716,0.36964285714285716,5.0,0.45383928571428567
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,3,0.5167857142857143,0.37410714285714286,5.0,0.47743303571428564
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,4,0.47901785714285716,0.38660714285714287,5.0,0.4363392857142857
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,5,0.4799107142857143,0.35446428571428573,5.0,0.449330357142857
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,6,0.5119642857142856,0.3919642857142857,5.0,0.4588839285714285
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,7,0.4914285714285715,0.37142857142857144,5.0,0.4510267857142857
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr,0,0.49303571428571424,0.3723214285714286,5.0,0.44037946428571423
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr,1,0.5013392857142858,0.3767857142857143,5.0,0.4301785714285714
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr,2,0.48508928571428567,0.3678571428571429,5.0,0.44301339285714275
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr,3,0.500625,0.38125,5.0,0.46464285714285714
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr,4,0.47874999999999995,0.36428571428571427,5.0,0.45176339285714284
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr,5,0.48214285714285715,0.35625,5.0,0.45359375
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr,6,0.5049999999999999,0.3723214285714286,5.0,0.4455803571428571
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr,7,0.4941964285714286,0.3669642857142857,5.0,0.44546874999999997
1,up,2.0,2.0,0.08,0.01,140,70,10,uniform,0,0.5074107142857143,0.38035714285714284,5.0,0.4663392857142858
1,up,2.0,2.0,0.08,0.01,140,70,10,uniform,1,0.48892857142857143,0.39553571428571427,5.0,0.4271205357142857
1,up,2.0,2.0,0.08,0.01,140,70,10,uniform,2,0.5322321428571428,0.40982142857142856,5.0,0.47595982142857135
1,up,2.0,2.0,0.08,0.01,140,70,10,uniform,3,0.5183035714285714,0.4142857142857143,5.0,0.47625000000000006
1,up,2.0,2.0,0.08,0.01,140,70,10,uniform,4,0.5182142857142857,0.3964285714285714,5.0,0.47716517857142854
1,up,2.0,2.0,0.08,0.01,140,70,10,uniform,5,0.48392857142857143,0.3794642857142857,5.0,0.46185267857142864
1,up,2.0,2.0,0.08,0.01,140,70,10,uniform,6,0.5139285714285714,0.39375,5.0,0.45196428571428565
1,up,2.0,2.0,0.08,0.01,140,70,10,uniform,7,0.49357142857142855,0.40089285714285716,5.0,0.4496428571428572
1,up,2.0,2.0,0.08,0.01,140,70,10,fixed,0,0.49651785714285707,0.3830357142857143,5.0,0.46183035714285703
1,up,2.0,2.0,0.08,0.01,140,70,10,fixed,1,0.49991071428571426,0.3892857142857143,5.0,0.43424107142857143
1,up,2.0,2.0,0.08,0.01,140,70,10,fixed,2,0.5167857142857143,0.36607142857142855,5.0,0.4640178571428572
1,up,2.0,2.0,0.08,0.01,140,70,10,fixed,3,0.5317857142857143,0.3964285714285714,5.0,0.4918080357142858
1,up,2.0,2.0,0.08,0.01,140,70,10,fixed,4,0.4986607142857143,0.38660714285714287,5.0,0.4704910714285715
1,up,2.0,2.0,0.08,0.01,140,70,10,fixed,5,0.4971428571428571,0.3732142857142857,5.0,0.47055803571428567
1,up,2.0,2.0,0.08,0.01,140,70,10,fixed,6,0.5228571428571428,0.4125,5.0,0.4643303571428571
1,up,2.0,2.0,0.08,0.01,140,70,10,fixed,7,0.5042857142857142,0.40267857142857144,5.0,0.4607142857142857
1,up,2.0,2.0,0.08,0.01,140,70,10,failure_only,0,0.5117857142857143,0.3982142857142857,5.0,0.46247767857142846
1,up,2.0,2.0,0.08,0.01,140,70,10,failure_only,1,0.5044642857142857,0.3991071428571429,5.0,0.43078125
1,up,2.0,2.0,0.08,0.01,140,70,10,failure_only,2,0.5274107142857142,0.4107142857142857,5.0,0.48145089285714276
1,up,2.0,2.0,0.08,0.01,140,70,10,failure_only,3,0.5196428571428572,0.39285714285714285,5.0,0.4880133928571428
1,up,2.0,2.0,0.08,0.01,140,70,10,failure_only,4,0.5192857142857144,0.4142857142857143,5.0,0.47921875
1,up,2.0,2.0,0.08,0.01,140,70,10,failure_only,5,0.5107142857142857,0.3794642857142857,5.0,0.4750223214285714
1,up,2.0,2.0,0.08,0.01,140,70,10,failure_only,6,0.5271428571428572,0.4142857142857143,5.0,0.46665178571428567
1,up,2.0,2.0,0.08,0.01,140,70,10,failure_only,7,0.5301785714285715,0.43839285714285714,5.0,0.47651785714285716
1,up,2.0,2.0,0.08,0.01,140,70,10,td_loss,0,0.41526785714285713,0.3455357142857143,5.0,0.39602678571428573
1,up,2.0,2.0,0.08,0.01,140,70,10,td_loss,1,0.44651785714285713,0.3419642857142857,5.0,0.3941071428571428
1,up,2.0,2.0,0.08,0.01,140,70,10,td_loss,2,0.4041964285714286,0.31339285714285714,5.0,0.3965848214285714
1,up,2.0,2.0,0.08,0.01,140,70,10,td_loss,3,0.46812499999999996,0.3464285714285714,5.0,0.4390625
1,up,2.0,2.0,0.08,0.01,140,70,10,td_loss,4,0.4417857142857142,0.3339285714285714,5.0,0.4222544642857142
1,up,2.0,2.0,0.08,0.01,140,70,10,td_loss,5,0.4364285714285714,0.3080357142857143,5.0,0.42627232142857147
1,up,2.0,2.0,0.08,0.01,140,70,10,td_loss,6,0.4425892857142857,0.36339285714285713,5.0,0.39265625
1,up,2.0,2.0,0.08,0.01,140,70,10,td_loss,7,0.39714285714285713,0.2830357142857143,5.0,0.38638392857142856
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_uniform_radius,0,0.4982142857142857,0.3794642857142857,5.0,0.45953124999999995
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_uniform_radius,1,0.5003571428571428,0.3678571428571429,5.0,0.4297544642857143
