config_id,mode,target_radius,fixed_radius,lr,init_noise,iterations,eval_every,batch,best_bgr_method,best_bgr_rauc,uniform_rauc,fixed_rauc,failure_only_rauc,td_loss_rauc,ablation_rauc,uniform_delta,fixed_delta,failure_delta,td_delta,ablation_delta,r80_delta,wins,losses,candidate,elapsed_sec
0,up,1.0,1.0,0.08,0.01,140,70,10,bgr,0.4925223214285714,0.5070647321428572,0.5067745535714285,0.518828125,0.4315066964285714,0.49329241071428565,-0.014542410714285803,-0.014252232142857146,-0.026305803571428588,0.06101562499999996,-0.0007700892857142594,0.0,2,6,False,193.39611506462097
1,up,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,0.500703125,0.5070647321428572,0.5084933035714285,0.518828125,0.4315066964285714,0.5072991071428572,-0.006361607142857162,-0.007790178571428497,-0.018124999999999947,0.0691964285714286,-0.006595982142857171,0.0,3,5,False,192.19656491279602
2,up,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,0.5035825892857142,0.5070647321428572,0.5017522321428571,0.518828125,0.4315066964285714,0.49960937499999997,-0.003482142857142989,0.0018303571428570642,-0.015245535714285774,0.07207589285714278,0.003973214285714233,0.0,3,5,False,192.44252586364746
3,down,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,0.37729910714285714,0.3790401785714286,0.3806808035714286,0.3898325892857143,0.33787946428571425,0.38171875,-0.001741071428571439,-0.0033816964285714457,-0.012533482142857155,0.03941964285714289,-0.004419642857142858,0.0,4,4,False,202.51566529273987
4,down,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,0.37816964285714283,0.3790401785714286,0.38613839285714285,0.3898325892857143,0.33787946428571425,0.3822544642857143,-0.0008705357142857473,-0.007968750000000024,-0.011662946428571463,0.04029017857142858,-0.004084821428571472,0.0,5,3,False,201.85358452796936
5,down,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,0.38589285714285715,0.3790401785714286,0.37729910714285714,0.3898325892857143,0.33787946428571425,0.37650669642857143,0.006852678571428572,0.008593750000000011,-0.003939732142857144,0.0480133928571429,0.009386160714285718,0.0,5,3,False,202.82225561141968
6,dealer_signed,1.0,1.0,0.08,0.01,140,70,10,bgr_coverage,0.43495535714285716,0.4413504464285714,0.4473772321428572,0.4497767857142857,0.3857366071428572,0.428984375,-0.0063950892857142505,-0.012421875000000027,-0.014821428571428541,0.04921874999999998,0.005970982142857184,0.0,3,5,False,197.40474343299866
7,dealer_signed,2.0,2.0,0.08,0.01,140,70,10,bgr_coverage,0.4386830357142857,0.4413504464285714,0.4459821428571429,0.4497767857142857,0.3857366071428572,0.4413392857142857,-0.002667410714285723,-0.007299107142857197,-0.011093750000000013,0.052946428571428505,-0.0026562500000000266,0.0,5,3,False,197.54936814308167
8,dealer_signed,3.0,3.0,0.08,0.01,140,70,10,bgr_coverage,0.44021205357142856,0.4413504464285714,0.4387611607142857,0.4497767857142857,0.3857366071428572,0.4514285714285714,-0.0011383928571428448,0.0014508928571428381,-0.009564732142857135,0.054475446428571384,-0.011216517857142838,0.0,3,5,False,198.55766940116882
