seed,replay_index,sigma,trial,success,final_distance,steps
0,0,0.0,0,1,0.047773704424222484,16
0,0,0.02,0,1,0.049544401535171846,18
0,0,0.04,0,1,0.0410514025637467,19
0,0,0.06,0,1,0.028809228146883775,19
0,0,0.08,0,1,0.047790074740608854,17
0,0,0.12,0,1,0.047790074740608854,17
0,1,0.0,0,0,0.4760164333089023,50
0,1,0.02,0,0,0.46903047943354365,50
0,1,0.04,0,1,0.04113562546797822,29
0,1,0.06,0,1,0.04276610255043759,27
0,1,0.08,0,1,0.03570702487913689,28
0,1,0.12,0,1,0.03414231587637056,30
0,2,0.0,0,0,0.7116137463342739,50
0,2,0.02,0,0,0.7267515758046542,50
0,2,0.04,0,0,0.7445659228623903,50
0,2,0.06,0,0,0.7570949832828872,50
0,2,0.08,0,0,0.7740152967329107,50
0,2,0.12,0,0,0.7864559524123403,50
0,3,0.0,0,0,0.7290455370832143,50
0,3,0.02,0,0,0.6846039906259401,50
0,3,0.04,0,1,0.031777653885910674,36
0,3,0.06,0,1,0.040837791507010696,31
0,3,0.08,0,1,0.04864547237273328,25
0,3,0.12,0,1,0.04179602424401333,31
1,0,0.0,0,1,0.03396263051617949,0
1,0,0.02,0,1,0.0436764040573186,0
1,0,0.04,0,1,0.03577645268673448,9
1,0,0.06,0,1,0.031433178059238884,9
1,0,0.08,0,1,0.047365947379504676,9
1,0,0.12,0,1,0.047365947379504676,9
1,1,0.0,0,1,0.04576327721667379,13
1,1,0.02,0,1,0.04588094778084264,12
1,1,0.04,0,1,0.0296535784143724,24
1,1,0.06,0,1,0.03301883399071027,25
1,1,0.08,0,1,0.04984318669023636,29
1,1,0.12,0,1,0.040873477553733856,27
1,2,0.0,0,1,0.03504051422870725,0
1,2,0.02,0,1,0.02752695319857301,0
1,2,0.04,0,1,0.03293226115119763,0
1,2,0.06,0,1,0.04699191051462972,0
1,2,0.08,0,1,0.0402348499171114,7
1,2,0.12,0,1,0.022709808457244175,5
1,3,0.0,0,1,0.04849655233719242,18
1,3,0.02,0,1,0.04310044756959704,16
1,3,0.04,0,1,0.03626825048152083,9
1,3,0.06,0,1,0.036058312808269044,9
1,3,0.08,0,1,0.03410495864768518,9
1,3,0.12,0,1,0.04157559242484299,8
