seed,replay_index,sigma,trial,success,final_distance,steps
0,0,0.0,0,0,0.4340018697024713,50
0,0,0.03,0,0,0.43798697891529653,50
0,0,0.06,0,0,0.442419888820947,50
0,0,0.09,0,0,0.44728728562324793,50
0,0,0.12,0,0,0.45257515096055595,50
0,0,0.15,0,0,0.4543336413851496,50
0,1,0.0,0,0,0.18989757240321734,50
0,1,0.03,0,0,0.2119494424674767,50
0,1,0.06,0,0,0.23380292794966911,50
0,1,0.09,0,0,0.2548073715504084,50
0,1,0.12,0,0,0.26540737800285474,50
0,1,0.15,0,0,0.26540737800285474,50
0,2,0.0,0,0,0.1587143545683642,50
0,2,0.03,0,0,0.18230727968172533,50
0,2,0.06,0,0,0.20616633535975784,50
0,2,0.09,0,0,0.23020879040170594,50
0,2,0.12,0,0,0.2497236246532315,50
0,2,0.15,0,0,0.25044105181752757,50
0,3,0.0,0,0,0.4064872781070193,50
0,3,0.03,0,0,0.4076076608404269,50
0,3,0.06,0,0,0.4089628975016213,50
0,3,0.09,0,0,0.41055066232342696,50
0,3,0.12,0,0,0.4123232822276998,50
0,3,0.15,0,0,0.41276498525008987,50
1,0,0.0,0,0,0.29214453067912755,50
1,0,0.03,0,0,0.2942798588608983,50
1,0,0.06,0,0,0.2989630963590347,50
1,0,0.09,0,0,0.30434961562919094,50
1,0,0.12,0,0,0.30434961562919094,50
1,0,0.15,0,0,0.30434961562919094,50
1,1,0.0,0,0,0.4537291686664172,50
1,1,0.03,0,0,0.4578991879832075,50
1,1,0.06,0,0,0.4626564382533367,50
1,1,0.09,0,0,0.46798301144749505,50
1,1,0.12,0,0,0.4738597089796609,50
1,1,0.15,0,0,0.48026633676506153,50
1,2,0.0,0,1,0.03504051422870725,0
1,2,0.03,0,1,0.027906443288930067,0
1,2,0.06,0,1,0.04187457571469164,0
1,2,0.09,0,0,0.06416848020285937,50
1,2,0.12,0,0,0.07181064595570542,50
1,2,0.15,0,0,0.07845198806598783,50
1,3,0.0,0,0,0.4562214567228301,50
1,3,0.03,0,0,0.45741355020223795,50
1,3,0.06,0,0,0.45782988295988297,50
1,3,0.09,0,0,0.4575560749536378,50
1,3,0.12,0,0,0.4572856600765914,50
1,3,0.15,0,0,0.4570186443518195,50
