seed,replay_index,sigma,trial,success,final_distance,steps
0,0,0.0,0,1,0.04841154676855264,11
0,0,0.03,0,1,0.044362393664798994,12
0,0,0.06,0,1,0.04786469830074244,13
0,0,0.09,0,0,0.6340790527257103,50
0,0,0.12,0,0,0.6486918826172516,50
0,0,0.15,0,0,0.7224514226426578,50
0,1,0.0,0,0,0.3150759792815749,50
0,1,0.03,0,0,0.3248491018436116,50
0,1,0.06,0,0,0.32663448150210667,50
0,1,0.09,0,0,0.3803529713054742,50
0,1,0.12,0,0,0.359899438614941,50
0,1,0.15,0,0,0.39998828415643317,50
0,2,0.0,0,0,0.05462889952671782,50
0,2,0.03,0,0,0.1759626371060235,50
0,2,0.06,0,0,0.2436198418615164,50
0,2,0.09,0,0,0.2665015363278461,50
0,2,0.12,0,0,0.2665015363278461,50
0,2,0.15,0,0,0.2665015363278461,50
0,3,0.0,0,0,0.6574513638394376,50
0,3,0.03,0,0,0.6427074647685445,50
0,3,0.06,0,0,0.6427074647685445,50
0,3,0.09,0,0,0.6427074647685445,50
0,3,0.12,0,0,0.6427074647685445,50
0,3,0.15,0,0,0.6427074647685445,50
1,0,0.0,0,0,0.7363978511844219,50
1,0,0.03,0,0,0.7583501741677389,50
1,0,0.06,0,0,0.7478372275011116,50
1,0,0.09,0,0,0.565147371161486,50
1,0,0.12,0,0,0.5285382766231397,50
1,0,0.15,0,0,0.5240864623925264,50
1,1,0.0,0,1,0.04298554619481864,15
1,1,0.03,0,1,0.0456193313490504,15
1,1,0.06,0,1,0.04561888003256404,15
1,1,0.09,0,1,0.04665011206979223,15
1,1,0.12,0,1,0.0473331206057134,15
1,1,0.15,0,1,0.04734749625059657,16
1,2,0.0,0,0,0.5803930574289309,50
1,2,0.03,0,0,0.5585526895741475,50
1,2,0.06,0,0,0.5546258546289544,50
1,2,0.09,0,0,0.5553866085535224,50
1,2,0.12,0,0,0.46545986683510276,50
1,2,0.15,0,0,0.5701015592020611,50
1,3,0.0,0,0,0.8118252669244244,50
1,3,0.03,0,0,0.8003699022340113,50
1,3,0.06,0,0,0.791533655178457,50
1,3,0.09,0,0,0.8042583943055496,50
1,3,0.12,0,0,0.8030771435533546,50
1,3,0.15,0,0,0.8124418838754511,50
