stress_case,stress_label,method,n,clean_mean,clean_sem,rauc_mean,rauc_sem,r80_mean,r80_sem,aulc_mean,aulc_sem
diffuse_boundary,Diffuse boundary,BGR,15,0.9285431587183647,0.0006467576073067425,0.4572253281492655,0.0005205497658475625,0.3258087910617558,0.0007359076722069444,0.37313196011569255,0.0004702979831780524
diffuse_boundary,Diffuse boundary,Uniform,15,0.8787401423190653,0.0007707934680510139,0.42985780967483966,0.0005611180886008592,0.3255365896481752,0.0006122268888680609,0.33846828319121414,0.0005889240935648484
low_feasibility,Low feasibility,BGR,15,0.9455692365301971,0.0007259782830379926,0.3619254526527628,0.0006074889166485525,0.2847648657861713,0.0012154272218329037,0.3048613760674324,0.0005537727355835195
low_feasibility,Low feasibility,Uniform,15,0.887905251276791,0.000771444472192057,0.32350068560928935,0.0006276840517415168,0.26113108788715195,0.0011155949198188976,0.2706768238046229,0.0006010964106887378
sharp_low_margin,Sharp low-margin,BGR,15,0.9626147352434958,0.00048222999181511537,0.397960775209148,0.0004817012490629586,0.329044417365055,0.000592476121492309,0.30740192280728496,0.00039155893992742156
sharp_low_margin,Sharp low-margin,Uniform,15,0.8941955231627089,0.0007200126956131026,0.3248629902694721,0.000492943939686217,0.2909012122555573,0.0011635361254078338,0.24477413268204315,0.00043255907116293416
