method,n,probes_per_state,r80_mae_mean,r80_mae_sem,rauc_mae_mean,rauc_mae_sem,hit_rate_mean,hit_rate_sem
Active BGR,5,17,0.07871608356153374,0.00074527623400362,0.06551957144474044,0.0010411931530253942,0.682421875,0.0038866696761977342
Coarse,5,17,0.07170881934339747,0.0008985917719396359,0.059840271928500964,0.0007393585455245307,0.653515625,0.006726240374110377
Uniform,5,17,0.1055955515697505,0.0017965669295739786,0.0646684798814345,0.00032068562491336224,0.615234375,0.0067658234670659265
