regime,regime_label,method,obstacle_prob,grid_size,max_offset,n,clean_mean,clean_sem,rauc_mean,rauc_sem,r80_mean,r80_sem,aulc_mean,aulc_sem
high_obstacle,High obstacle,BGR,0.3,11,7,30,0.9453530842457998,0.00045428264125979106,0.4345639296468964,0.00038205730994113666,0.3446283411351662,0.0006888389889446605,0.3526182546241671,0.00040146110389081445
high_obstacle,High obstacle,Uniform,0.3,11,7,30,0.8939369424608835,0.0004407353633616295,0.39626107334051386,0.00037380684303511277,0.3319522290789215,0.0005854480453794917,0.3132455424315959,0.0004237401154749097
low_obstacle,Low obstacle,BGR,0.14,11,5,30,0.9455516392389469,0.0004726256460112658,0.4344574829442092,0.0003816979957744325,0.34480537464193944,0.0007587777662752226,0.35264516557949405,0.00039578048138646035
low_obstacle,Low obstacle,Uniform,0.14,11,5,30,0.8939365472532448,0.00044069667872717047,0.39634224765844567,0.00037345499353882966,0.33208367822501994,0.0005889619770514277,0.31321144985082455,0.0004230046760776943
nominal,Nominal,BGR,0.22,11,6,30,0.9454893391894625,0.0004825326094247043,0.43444252393637156,0.0003769763011844554,0.344682154713243,0.0007920307208221895,0.3526276817676416,0.00039932351601517545
nominal,Nominal,Uniform,0.22,11,6,30,0.8939369844965863,0.0004407406688212723,0.39632266688430834,0.0003733123260372223,0.33207844927811875,0.0005884124610575373,0.31322194980793877,0.0004225512567611298
