method,n,clean_mean,clean_sem,rauc_mean,rauc_sem,r80_mean,r80_sem,aulc_mean,aulc_sem
BGR,15,0.94605860778616,0.0007789402487245105,0.4345018006021572,0.0006022123017786832,0.34414988173046074,0.0009999524882049577,0.3525309593207799,0.0006351221427399161
No uncertainty,15,0.9459656698425659,0.0007003561979104792,0.4345320194359408,0.0005133329778030172,0.34382925235477013,0.0007812107172860187,0.35246659323025187,0.000579905415614639
No sharpness,15,0.946810557204201,0.0008029165639794544,0.4342366739715049,0.0005880505900371073,0.34411138584578177,0.0008740680502291703,0.35234552635568134,0.0005936211845235386
Uniform radius,15,0.8910017505871223,0.0007937384513711194,0.3816398534013026,0.0007957463942402613,0.32174375578784087,0.0007148609146555327,0.3046374660679659,0.0007030123430024712
Uniform replay,15,0.8942860471236325,0.0007327212760915805,0.3961277428632299,0.0005795522920236746,0.33184313342425464,0.000678500886378879,0.312902570782272,0.0006332965381336872
