method,n,clean_mean,clean_sem,rauc_mean,rauc_sem,r80_mean,r80_sem,aulc_mean,aulc_sem
BGR,30,0.9454893391894625,0.0004825326094247043,0.43444252393637156,0.0003769763011844554,0.344682154713243,0.0007920307208221895,0.3526276817676416,0.0003993235160151752
Uniform,30,0.8939369844965863,0.00044074066882127404,0.39632266688430834,0.0003733123260372223,0.33207844927811875,0.0005884124610575373,0.31322194980793877,0.00042255125676112946
Failure-only,30,0.8449417562880407,0.00042132361029392713,0.2909271159951134,0.00046808686815774284,0.23140932098082675,0.0005537401676386375,0.2540044287601314,0.0004508144333905055
Loss-priority,30,0.7973947685708619,0.0005511706202888099,0.2108513981666709,0.0004478095381489676,0.13727882367818722,0.0006365159278483289,0.21299830619304214,0.00045336940332559164
Fixed radius,30,0.7944125672916763,0.0006084978029827552,0.209745591917166,0.00045399032527607364,0.13620630674376788,0.0006567523138167629,0.21280856944886148,0.0004577770392627853
