learning_rate,method,n,clean_mean,clean_sem,rauc_mean,rauc_sem,r80_mean,r80_sem,aulc_mean,aulc_sem
0.015,BGR,15,0.9457031671891667,0.0008442582140574913,0.3820878986905745,0.0006269791339308143,0.29988276607009196,0.0008494421369751718,0.3123575596721378,0.0006274784843276867
0.015,Uniform,15,0.8846443468095754,0.0007560461111057222,0.3197501973500841,0.0006455692480227972,0.24847584156851135,0.0007623836419817446,0.26892221039675335,0.0006758783895175975
0.03,BGR,15,0.94605860778616,0.0007789402487245105,0.4345018006021572,0.0006022123017786832,0.34414988173046074,0.0009999524882049577,0.3525309593207799,0.0006351221427399161
0.03,Uniform,15,0.8942860471236325,0.0007327212760915805,0.3961277428632299,0.0005795522920236746,0.33184313342425464,0.000678500886378879,0.312902570782272,0.0006332965381336872
0.06,BGR,15,0.9442000133854708,0.0008073322545169343,0.4856121408955796,0.0006123993746123583,0.40759994181834364,0.0008389070958488295,0.3961953251484108,0.0006419066101879131
0.06,Uniform,15,0.8992532238343032,0.0007318427656732455,0.49080897424628045,0.000666594123059494,0.4396939841472778,0.0009193010438965765,0.37852390374217754,0.000719610823783157
