dataset,target_radius,method,n,final_rauc_mean,delta_vs_uniform,wins_vs_uniform,losses_vs_uniform,ties_vs_uniform,decision
phoneme,1.5000,fixed,30,0.683292,-0.006342,16,14,0,reject-scout
phoneme,1.5000,bgr,30,0.706692,0.017058,18,12,0,reject-scout
qsar-biodeg,1.5000,uniform,30,0.789433,0.000000,0,0,30,reject-scout
qsar-biodeg,1.5000,fixed,30,0.803175,0.013742,19,11,0,reject-scout
qsar-biodeg,1.5000,bgr,30,0.799250,0.009817,15,15,0,reject-scout
sonar,1.5000,uniform,30,0.747688,0.000000,0,0,30,reject-scout
sonar,1.5000,fixed,30,0.729281,-0.018408,11,19,0,reject-scout
sonar,1.5000,bgr,30,0.751142,0.003453,14,16,0,reject-scout
spambase,1.5000,uniform,30,0.850742,0.000000,0,0,30,reject-scout
spambase,1.5000,fixed,30,0.848800,-0.001942,15,15,0,reject-scout
spambase,1.5000,bgr,30,0.868292,0.017550,21,9,0,reject-scout
steel-plates-fault,1.5000,uniform,30,0.953775,0.000000,0,0,30,reject-scout
steel-plates-fault,1.5000,fixed,30,0.962967,0.009192,17,13,0,reject-scout
steel-plates-fault,1.5000,bgr,30,0.951558,-0.002217,14,16,0,reject-scout
wdbc,1.5000,uniform,30,0.953042,0.000000,0,0,30,reject-scout
wdbc,1.5000,fixed,30,0.952792,-0.000250,14,16,0,reject-scout
wdbc,1.5000,bgr,30,0.954865,0.001823,13,17,0,reject-scout
