method,seeds,final_clean_mean,final_rauc_mean,final_median_r80_mean,rauc_aulc_mean,best_rauc_mean
bgr,4,1.000000,0.889583,5.000000,0.698698,0.889583
bgr_coverage,4,1.000000,0.889583,5.000000,0.721615,0.889583
bgr_uniform_radius,4,1.000000,0.889583,5.000000,0.739844,0.889583
failure_only,4,1.000000,0.889583,5.000000,0.772135,0.889583
fixed,4,1.000000,0.831250,3.200000,0.691927,0.831250
td_loss,4,1.000000,0.831250,3.200000,0.698698,0.845833
uniform,4,1.000000,0.889583,5.000000,0.739844,0.889583
