method,seed,step,clean,rauc,median_r80
bgr_coverage,2,40.0,1.0,0.9166666666666666,5.0
bgr_coverage,2,60.0,1.0,0.9166666666666666,5.0
bgr_coverage,2,80.0,1.0,0.9166666666666666,5.0
bgr_coverage,3,0.0,0.0,0.0,5.0
bgr_coverage,3,20.0,1.0,0.6749999999999999,1.2
bgr_coverage,3,40.0,1.0,0.8000000000000002,1.2
bgr_coverage,3,60.0,1.0,0.8666666666666667,5.0
bgr_coverage,3,80.0,1.0,0.8666666666666667,5.0
bgr,0,0.0,0.0,0.0,5.0
bgr,0,20.0,1.0,0.8083333333333332,1.4
bgr,0,40.0,1.0,0.8083333333333332,1.4
bgr,0,60.0,1.0,0.875,1.4
bgr,0,80.0,1.0,0.9166666666666666,5.0
bgr,1,0.0,0.0,0.0,5.0
bgr,1,20.0,1.0,0.6749999999999999,0.7999999999999999
bgr,1,40.0,1.0,0.6749999999999999,0.7999999999999999
bgr,1,60.0,1.0,0.8583333333333334,5.0
bgr,1,80.0,1.0,0.8583333333333334,5.0
bgr,2,0.0,0.0,0.0,5.0
bgr,2,20.0,1.0,0.7833333333333333,1.4
bgr,2,40.0,1.0,0.9166666666666666,5.0
bgr,2,60.0,1.0,0.7833333333333333,1.4
bgr,2,80.0,1.0,0.9166666666666666,5.0
bgr,3,0.0,0.0,0.0,5.0
bgr,3,20.0,1.0,0.6749999999999999,1.2
bgr,3,40.0,1.0,0.6749999999999999,1.2
bgr,3,60.0,1.0,0.8666666666666667,5.0
bgr,3,80.0,1.0,0.8666666666666667,5.0
