stress_case,method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
sharp_low_margin,uniform,0,0.8984452513327852,0.3252582262968595,0.28777316666722147,0.24534949389465935,0.3252582262968595
sharp_low_margin,uniform,1,0.8941141287302057,0.32493400551847823,0.2853425848058641,0.24277727509975952,0.32493400551847823
sharp_low_margin,uniform,2,0.8969352898211178,0.32575270408082985,0.2944672682324308,0.2453924366308747,0.32575270408082985
sharp_low_margin,uniform,3,0.8930472604932871,0.3268556187424342,0.29575090145640853,0.2467414434692104,0.3268556187424342
sharp_low_margin,uniform,4,0.900831001508239,0.32911982006127444,0.29652151242574126,0.2479360465735931,0.32911982006127444
sharp_low_margin,uniform,5,0.8910505657435345,0.32655036298363216,0.29957694468254686,0.24657457397793492,0.32655036298363216
sharp_low_margin,uniform,6,0.8955414039168283,0.32577530133404525,0.2902661808622543,0.2454404563359347,0.32577530133404525
sharp_low_margin,uniform,7,0.8940880991960977,0.3240151325569158,0.28695965142149504,0.24356943835607733,0.3240151325569158
sharp_low_margin,uniform,8,0.8938039437192657,0.3221998437422813,0.28581576738842174,0.24177457181206088,0.3221998437422813
sharp_low_margin,uniform,9,0.8940517431059269,0.32338180461360083,0.2937849075666298,0.2441996209178872,0.32338180461360083
sharp_low_margin,uniform,10,0.8912618808912965,0.32183615698014806,0.2899685354050691,0.24275806182160825,0.32183615698014806
sharp_low_margin,uniform,11,0.8914057988133708,0.32390127142302694,0.2914088885035402,0.2451921848010357,0.32390127142302694
sharp_low_margin,uniform,12,0.8919157282263752,0.325724698982136,0.28732467180064053,0.24577920930686403,0.325724698982136
sharp_low_margin,uniform,13,0.8920866176130965,0.3230152822054092,0.2853273698652474,0.24407417393211095,0.3230152822054092
sharp_low_margin,uniform,14,0.8943541343292064,0.3246246245210095,0.2932298327498488,0.2440530033010362,0.3246246245210095
sharp_low_margin,bgr,0,0.9656439091407416,0.3982319355495272,0.3275836631252472,0.3080667849303483,0.3982319355495272
sharp_low_margin,bgr,1,0.9621885198543767,0.39922651810972415,0.3312963623699561,0.3065374138295377,0.39922651810972415
sharp_low_margin,bgr,2,0.9656840536147583,0.3985398255986365,0.32651199543831344,0.30751891392181496,0.3985398255986365
sharp_low_margin,bgr,3,0.9604795567449794,0.399976201367845,0.33102311884905977,0.3094167744221719,0.399976201367845
sharp_low_margin,bgr,4,0.9641337812293433,0.4011918200671554,0.3345135010188002,0.31045835915067516,0.4011918200671554
sharp_low_margin,bgr,5,0.9600704343848114,0.3981995118942274,0.3287480743555375,0.30792873856190006,0.3981995118942274
sharp_low_margin,bgr,6,0.9625786526802926,0.40116333721261,0.3307161680713596,0.3100536153297543,0.40116333721261
sharp_low_margin,bgr,7,0.9638738201060142,0.3985835719840583,0.3286900801135347,0.30674164075827876,0.3985835719840583
sharp_low_margin,bgr,8,0.9628778179452014,0.3950688197029745,0.329288321003925,0.3056318072684367,0.3950688197029745
sharp_low_margin,bgr,9,0.9625404257818135,0.3961311808257569,0.32918978035968266,0.3064656496833063,0.3961311808257569
sharp_low_margin,bgr,10,0.9602099340933222,0.39703393630004613,0.33054683074894986,0.30571565571808423,0.39703393630004613
sharp_low_margin,bgr,11,0.9604519535617159,0.39603746654084976,0.32807254037317607,0.3063589990507603,0.39603746654084976
sharp_low_margin,bgr,12,0.9612511606429195,0.3962431513270013,0.32704362652603886,0.30726941917462414,0.3962431513270013
sharp_low_margin,bgr,13,0.9630185371679448,0.3968187952728007,0.32635444747205433,0.30650059645529715,0.3968187952728007
sharp_low_margin,bgr,14,0.9642184717042023,0.39696555638400743,0.32608775065019,0.3063644738542843,0.39696555638400743
diffuse_boundary,uniform,0,0.8830825555951929,0.430277958068637,0.3263043649898445,0.33930514225177905,0.430277958068637
diffuse_boundary,uniform,1,0.8790897006011069,0.4311564324213754,0.3291752139198907,0.33788581436368714,0.4311564324213754
diffuse_boundary,uniform,2,0.8808379477365912,0.42997263369767796,0.32461929980664644,0.33883877330635664,0.42997263369767796
diffuse_boundary,uniform,3,0.8778575417589164,0.4309557331219271,0.3255137985774502,0.3410636031832199,0.4309557331219271
diffuse_boundary,uniform,4,0.8865496383615784,0.43564478308776533,0.3286853862445004,0.3437173592285252,0.43564478308776533
diffuse_boundary,uniform,5,0.8755643577774224,0.4306158100633708,0.3259957241088742,0.3400942774320957,0.4306158100633708
diffuse_boundary,uniform,6,0.8801238699625435,0.43123348904799064,0.3269342893238228,0.339753933515646,0.43123348904799064
diffuse_boundary,uniform,7,0.877150598744589,0.4265123805450707,0.32228412761524333,0.33530831418603413,0.4265123805450707
diffuse_boundary,uniform,8,0.8781241397496425,0.4294584213799957,0.32438344166141186,0.33649913362149475,0.4294584213799957
diffuse_boundary,uniform,9,0.8787050223055805,0.42930379743493524,0.32778814971466624,0.33811599962514177,0.42930379743493524
diffuse_boundary,uniform,10,0.8766046981272094,0.42932013139352865,0.32635415653226146,0.33666629696073336,0.42932013139352865
diffuse_boundary,uniform,11,0.8768181889747793,0.42935443741455087,0.3277179888929242,0.3392656274129478,0.42935443741455087
diffuse_boundary,uniform,12,0.8759821591045601,0.42978213012185906,0.3228412256242961,0.33881372578944674,0.42978213012185906
diffuse_boundary,uniform,13,0.8757669453983254,0.4273593108938222,0.32179546319183994,0.33667054495330007,0.4273593108938222
diffuse_boundary,uniform,14,0.8788447705879404,0.4269196964300888,0.3226562145189563,0.33502570203780413,0.4269196964300888
diffuse_boundary,bgr,0,0.9317409485425895,0.45833406711491215,0.32694940398033245,0.37492151481812497,0.45833406711491215
diffuse_boundary,bgr,1,0.9289663114341323,0.45913220861445136,0.32762464098756605,0.3734341188778986,0.45913220861445136
diffuse_boundary,bgr,2,0.9312815010211495,0.45891859199050583,0.3271749598424165,0.3743796415984355,0.45891859199050583
diffuse_boundary,bgr,3,0.9243310618654096,0.4588930397533537,0.327988179082872,0.3753640222411326,0.4588930397533537
diffuse_boundary,bgr,4,0.934029836096959,0.46033313835686285,0.32271188915957816,0.37643237012473546,0.46033313835686285
diffuse_boundary,bgr,5,0.9266661907408325,0.4577510063298154,0.32322201627659625,0.37303757670880316,0.4577510063298154
diffuse_boundary,bgr,6,0.9296230584143318,0.45950875463065477,0.33231472469463463,0.3749846413524424,0.45950875463065477
