method,seeds,final_clean_mean,final_rauc_mean,final_median_r80_mean,rauc_aulc_mean,best_rauc_mean
bgr,4,1.000000,0.804687,5.325000,0.797656,0.840625
bgr_coverage,4,1.000000,0.840625,5.950000,0.740039,0.843750
bgr_uniform_radius,4,1.000000,0.831250,5.950000,0.814258,0.846875
failure_only,4,1.000000,0.862500,6.200000,0.820898,0.862500
fixed,4,0.925000,0.773438,3.700000,0.777344,0.810937
td_loss,4,1.000000,0.803125,5.575000,0.808008,0.837500
uniform,4,1.000000,0.823437,5.450000,0.800000,0.846875
