stress_case,method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
low_teacher,uniform,0,0.6670360114033183,0.37569306491230553,0.48106480601186985,0.21886645755813927,0.2723102723456251,0.37569306491230553
low_teacher,uniform,1,0.6642747164339166,0.37616999880360935,0.47841031427952413,0.22103761435741895,0.27281794017668975,0.37616999880360935
low_teacher,uniform,2,0.671464093166616,0.37765211942368093,0.4765563744903909,0.22078714529871396,0.2754076096496863,0.37765211942368093
low_teacher,uniform,3,0.6546829598709005,0.36898187610740957,0.4809168996316857,0.21669385576120925,0.26687027143759456,0.36898187610740957
low_teacher,uniform,4,0.6687968480725872,0.38013856056579404,0.48018146532692635,0.22546787786343317,0.27669279924862356,0.38013856056579404
low_teacher,uniform,5,0.6637722140210977,0.3762006399582596,0.4901676628813899,0.22281414212428702,0.2743773537171447,0.3762006399582596
low_teacher,uniform,6,0.6623549109242278,0.37247004463156336,0.483749177242649,0.22130169820145512,0.27028128159728837,0.37247004463156336
low_teacher,uniform,7,0.6673245333775976,0.37297679387527144,0.4738896513890565,0.21942302844520828,0.27114290121019613,0.37297679387527144
low_teacher,uniform,8,0.6658860185451778,0.37621594046747997,0.4830580873735495,0.2171506890819486,0.27011210883037345,0.37621594046747997
low_teacher,uniform,9,0.665048398811623,0.3731828055940065,0.47388878450176886,0.21950364551932894,0.27200846466584827,0.3731828055940065
low_teacher,uniform,10,0.6660722453992023,0.3765748965541873,0.48750543435746674,0.2190546044300217,0.27343339089702484,0.3765748965541873
low_teacher,uniform,11,0.6568367547406153,0.36778929153987394,0.47179498086628946,0.21426524397399263,0.26659480969500166,0.36778929153987394
low_teacher,uniform,12,0.6645541668684345,0.3787270381452033,0.4836132689091889,0.22132852094580094,0.2734446107282958,0.3787270381452033
low_teacher,uniform,13,0.6627720259706817,0.37593968076444256,0.4909180979635112,0.220039717906204,0.27101153299250413,0.37593968076444256
low_teacher,uniform,14,0.6615511052491859,0.3726813223558445,0.4733653886582375,0.21873663481774772,0.2708168875728603,0.3726813223558445
low_teacher,bgr_broad,0,0.6887313473394276,0.3771746300246992,0.45286364214301117,0.22649044455489442,0.28060833452045814,0.3771746300246992
low_teacher,bgr_broad,1,0.6897069085715495,0.38011721973325513,0.4573606346228939,0.2251580238788828,0.28121027925617204,0.38011721973325513
low_teacher,bgr_broad,2,0.6929032091333194,0.38390322187584436,0.4664142846709076,0.2275838736520165,0.2837007102187256,0.38390322187584436
low_teacher,bgr_broad,3,0.680597431641484,0.37199970122866194,0.45712942733709616,0.2211608929616707,0.2737936779664455,0.37199970122866194
low_teacher,bgr_broad,4,0.6956088848792084,0.38672259565455386,0.46034469082620205,0.23179006577465155,0.28681986718125096,0.38672259565455386
low_teacher,bgr_broad,5,0.6882780786649062,0.38095543119081127,0.46118388934838395,0.22839246692286802,0.28250851924275133,0.38095543119081127
low_teacher,bgr_broad,6,0.6871902277452595,0.38007930452884087,0.4660920008407248,0.2290385162360841,0.28114240334663976,0.38007930452884087
low_teacher,bgr_broad,7,0.691647641479046,0.37960643039991454,0.45906472051973657,0.22632465238347246,0.2821255653185677,0.37960643039991454
low_teacher,bgr_broad,8,0.6904498935576195,0.3823331982690456,0.46891789426819797,0.22269686706960487,0.27982368668220636,0.3823331982690456
