dataset,target_radius,method,seed,final_rauc
credit-approval,1.5000,bgr,76,0.807851
credit-approval,1.5000,fixed,76,0.865186
credit-approval,1.5000,uniform,76,0.813275
credit-approval,1.5000,bgr,77,0.820248
credit-approval,1.5000,fixed,77,0.802169
credit-approval,1.5000,uniform,77,0.837293
credit-approval,1.5000,bgr,78,0.836002
credit-approval,1.5000,fixed,78,0.830837
credit-approval,1.5000,uniform,78,0.764205
credit-approval,1.5000,bgr,79,0.810176
credit-approval,1.5000,fixed,79,0.828771
credit-approval,1.5000,uniform,79,0.777376
credit-approval,1.5000,bgr,80,0.829545
credit-approval,1.5000,fixed,80,0.844267
credit-approval,1.5000,uniform,80,0.714618
credit-approval,1.5000,bgr,81,0.834194
credit-approval,1.5000,fixed,81,0.737862
credit-approval,1.5000,uniform,81,0.765496
credit-approval,1.5000,bgr,82,0.851498
credit-approval,1.5000,fixed,82,0.801136
credit-approval,1.5000,uniform,82,0.825155
credit-approval,1.5000,bgr,83,0.812500
credit-approval,1.5000,fixed,83,0.744060
credit-approval,1.5000,uniform,83,0.829545
credit-approval,1.5000,bgr,84,0.837035
credit-approval,1.5000,fixed,84,0.791839
credit-approval,1.5000,uniform,84,0.701188
credit-approval,1.5000,bgr,85,0.832128
credit-approval,1.5000,fixed,85,0.785899
credit-approval,1.5000,uniform,85,0.844525
credit-approval,1.5000,bgr,86,0.831612
credit-approval,1.5000,fixed,86,0.828254
credit-approval,1.5000,uniform,86,0.817149
credit-approval,1.5000,bgr,87,0.780475
credit-approval,1.5000,fixed,87,0.739928
credit-approval,1.5000,uniform,87,0.776343
credit-approval,1.5000,bgr,88,0.816632
credit-approval,1.5000,fixed,88,0.784349
credit-approval,1.5000,uniform,88,0.807076
credit-approval,1.5000,bgr,89,0.831870
credit-approval,1.5000,fixed,89,0.757490
credit-approval,1.5000,uniform,89,0.777634
credit-g,1.5000,bgr,60,0.777250
credit-g,1.5000,fixed,60,0.641500
credit-g,1.5000,uniform,60,0.639500
credit-g,1.5000,bgr,61,0.710000
credit-g,1.5000,fixed,61,0.735000
credit-g,1.5000,uniform,61,0.696250
credit-g,1.5000,bgr,62,0.722250
credit-g,1.5000,fixed,62,0.636000
credit-g,1.5000,uniform,62,0.703500
credit-g,1.5000,bgr,63,0.711000
credit-g,1.5000,fixed,63,0.708250
credit-g,1.5000,uniform,63,0.507500
credit-g,1.5000,bgr,64,0.708250
credit-g,1.5000,fixed,64,0.718250
credit-g,1.5000,uniform,64,0.620250
credit-g,1.5000,bgr,65,0.674750
credit-g,1.5000,fixed,65,0.700250
credit-g,1.5000,uniform,65,0.727000
credit-g,1.5000,bgr,66,0.712750
credit-g,1.5000,fixed,66,0.661500
credit-g,1.5000,uniform,66,0.492750
credit-g,1.5000,bgr,67,0.698250
credit-g,1.5000,fixed,67,0.688750
credit-g,1.5000,uniform,67,0.711750
credit-g,1.5000,bgr,68,0.714000
credit-g,1.5000,fixed,68,0.414000
credit-g,1.5000,uniform,68,0.703750
credit-g,1.5000,bgr,69,0.692000
credit-g,1.5000,fixed,69,0.677500
credit-g,1.5000,uniform,69,0.646750
credit-g,1.5000,bgr,70,0.729000
credit-g,1.5000,fixed,70,0.635250
credit-g,1.5000,uniform,70,0.741000
credit-g,1.5000,bgr,71,0.701250
credit-g,1.5000,fixed,71,0.707250
credit-g,1.5000,uniform,71,0.731750
