learning_rate,method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
0.015,uniform,0,0.8883286724514916,0.3205321639157816,0.24957957845712753,0.26983893889559,0.3205321639157816
0.015,uniform,1,0.8844448567247702,0.31872258384889096,0.24504178854746222,0.26606608323574477,0.31872258384889096
0.015,uniform,2,0.8873083111158293,0.3204364254972449,0.24986390226580374,0.269280708488895,0.3204364254972449
0.015,uniform,3,0.8843737005292062,0.32358579521987446,0.25318746926682023,0.2733044571254603,0.32358579521987446
0.015,uniform,4,0.8925877664535177,0.3252727082845746,0.2514365537209713,0.2739117646842187,0.3252727082845746
0.015,uniform,5,0.8811872932423092,0.32112472032847894,0.2527798300450329,0.2706226773115621,0.32112472032847894
0.015,uniform,6,0.8856804994552794,0.32142944044242533,0.24985716919562337,0.27068435980960126,0.32142944044242533
0.015,uniform,7,0.8840972570748978,0.3178441957787419,0.24449030707263017,0.26665311590586727,0.3178441957787419
0.015,uniform,8,0.8835453843562372,0.3165059979250472,0.24420817463325623,0.2651684446632669,0.3165059979250472
0.015,uniform,9,0.8839803357865675,0.31815283547492845,0.2498310001687795,0.26808008526012356,0.31815283547492845
0.015,uniform,10,0.8816955062768235,0.3163864352002236,0.24878512363005317,0.2657675862713266,0.3163864352002236
0.015,uniform,11,0.8828594636474552,0.3198382527390172,0.24926611029039555,0.269939881252857,0.3198382527390172
0.015,uniform,12,0.8827776596879071,0.32047850045239873,0.24483066132658382,0.26954440973850097,0.32047850045239873
0.015,uniform,13,0.8822339197882156,0.3185061816789363,0.24616362263192368,0.26827750370273173,0.3185061816789363
0.015,uniform,14,0.8845645755531242,0.3174367234646972,0.24781633227520677,0.2666931396055539,0.3174367234646972
0.015,uniform,15,0.8855689355621177,0.322727315431411,0.250197286445312,0.2724907515402974,0.322727315431411
0.015,uniform,16,0.8848544915335326,0.3177864708350292,0.24604746800943086,0.2668373671460647,0.3177864708350292
0.015,uniform,17,0.8814106410355246,0.32048205516665995,0.249199577987769,0.26901622016001026,0.32048205516665995
0.015,uniform,18,0.8832713523979513,0.3225721075501544,0.2536343353190732,0.2723488267998434,0.3225721075501544
0.015,uniform,19,0.8824769668391051,0.31764533969117614,0.25072890269792425,0.2669957598027101,0.31764533969117614
0.015,uniform,20,0.8847882094503494,0.31871407285110387,0.2498231098650891,0.26742955240134175,0.31871407285110387
0.015,uniform,21,0.8839954447862908,0.3227589208836878,0.2521620851129839,0.27210379967873927,0.3227589208836878
0.015,uniform,22,0.8823573002785767,0.3174839950277834,0.24884215217718933,0.26693021272349754,0.3174839950277834
0.015,uniform,23,0.8849022140591785,0.32062937789426466,0.24957661830236283,0.27008181626748023,0.32062937789426466
0.015,uniform,24,0.8863818951798733,0.32298955563706183,0.24986765838935165,0.2720155878829155,0.32298955563706183
0.015,uniform,25,0.8856275660331943,0.3181789801542212,0.24843799703021868,0.2683853679296089,0.3181789801542212
0.015,uniform,26,0.8801406757362051,0.32150159021638147,0.25046564013883554,0.27232444784207677,0.32150159021638147
0.015,uniform,27,0.8854003555212774,0.32074422502757416,0.25074522481418815,0.270300951758066,0.32074422502757416
0.015,uniform,28,0.8847884589378988,0.32071320241985024,0.2503019078785125,0.269648594208748,0.32071320241985024
0.015,uniform,29,0.8825072272147074,0.31876497714314234,0.24693038386845317,0.2679957265347073,0.31876497714314234
0.015,bgr,0,0.949082304322354,0.38329156205275927,0.30028499773961326,0.31383769661933114,0.38329156205275927
0.015,bgr,1,0.9456408846498174,0.3820018032275177,0.29769227062889636,0.3103315251856873,0.3820018032275177
0.015,bgr,2,0.9498050415037836,0.38291963817766195,0.30196550106497144,0.3133403624880177,0.38291963817766195
0.015,bgr,3,0.9412077705162412,0.3853343386619753,0.3015327143113423,0.31686430378707175,0.3853343386619753
0.015,bgr,4,0.9501155091049671,0.3855844396053189,0.30399974515500255,0.3160538682591916,0.3855844396053189
0.015,bgr,5,0.9417539904893422,0.3802746571855806,0.30114728819222325,0.3116350131437891,0.3802746571855806
0.015,bgr,6,0.94553983329339,0.3864762364272533,0.3057702474474454,0.31598046994440676,0.3864762364272533
0.015,bgr,7,0.9465601507867287,0.38264325625649953,0.29385743602961256,0.3110156439471054,0.38264325625649953
0.015,bgr,8,0.9447829756803906,0.3818327476065637,0.2998507576349402,0.3103901923935421,0.3818327476065637
