sigma,success_rate_raw,success_rate_monotone,trials,family
0.0,1.0,1.0,9,blur
0.6,0.3333333333333333,0.3333333333333333,9,blur
1.0,0.0,0.0,9,blur
0.0,1.0,1.0,9,brightness
0.6000000000000001,0.7777777777777778,0.7777777777777778,9,brightness
1.0,0.6666666666666666,0.6666666666666666,9,brightness
0.0,1.0,1.0,9,occlusion
0.4,0.4444444444444444,0.4444444444444444,9,occlusion
0.7,0.1111111111111111,0.1111111111111111,9,occlusion
1.0,0.0,0.0,9,occlusion
0.0,1.0,1.0,9,shift
0.5333333333333333,0.4444444444444444,0.4444444444444444,9,shift
1.0,0.2222222222222222,0.2222222222222222,9,shift
