seed,sigma,success,terminal,steps,reward,checkpoint_x,checkpoint_y,perturbed_x,perturbed_y,oxygen,diver_count
17,3.0,1,0,40,1,5,4,2,4,195,0
17,4.0,1,0,40,1,5,4,1,4,197,0
17,5.0,1,0,40,1,5,4,0,4,198,0
18,0.0,1,0,40,1,5,4,5,4,194,0
18,1.0,1,0,40,1,5,4,4,4,194,0
18,2.0,1,0,40,1,5,4,3,4,194,0
18,3.0,1,0,40,1,5,4,2,4,194,0
18,4.0,1,0,40,1,5,4,1,4,194,0
18,5.0,1,0,40,1,5,4,0,4,194,0
19,0.0,1,0,40,1,5,4,5,4,192,0
19,1.0,1,0,40,1,5,4,4,4,192,0
19,2.0,1,0,40,1,5,4,3,4,192,0
19,3.0,1,0,40,1,5,4,2,4,191,0
19,4.0,1,0,40,1,5,4,1,4,191,0
19,5.0,0,1,23,0,5,4,0,4,172,0
20,0.0,1,0,40,1,5,4,5,4,196,0
20,1.0,1,0,40,1,5,4,4,4,196,0
20,2.0,1,0,40,1,5,4,3,4,195,0
20,3.0,1,0,40,1,5,4,2,4,196,0
20,4.0,1,0,40,1,5,4,1,4,196,0
20,5.0,1,0,40,1,5,4,0,4,197,0
21,0.0,1,0,40,1,5,4,5,4,195,0
21,1.0,1,0,40,1,5,4,4,4,195,0
21,2.0,1,0,40,1,5,4,3,4,195,0
21,3.0,1,0,40,1,5,4,2,4,195,0
21,4.0,1,0,40,1,5,4,1,4,194,0
21,5.0,0,1,23,0,5,4,0,4,172,0
22,0.0,1,0,40,1,5,4,5,4,194,0
22,1.0,1,0,40,1,5,4,4,4,194,0
22,2.0,1,0,40,1,5,4,3,4,194,0
22,3.0,1,0,40,1,5,4,2,4,194,0
22,4.0,1,0,40,1,5,4,1,4,193,0
22,5.0,0,1,23,0,5,4,0,4,172,0
23,0.0,1,0,40,1,5,4,5,4,199,0
23,1.0,1,0,40,1,5,4,4,4,199,0
23,2.0,1,0,40,1,5,4,3,4,199,0
23,3.0,1,0,40,1,5,4,2,4,199,0
23,4.0,1,0,40,1,5,4,1,4,198,0
23,5.0,1,0,40,1,5,4,0,4,198,0
24,0.0,1,0,40,1,5,4,5,4,191,0
24,1.0,1,0,40,1,5,4,4,4,192,0
24,2.0,1,0,40,1,5,4,3,4,192,0
24,3.0,1,0,40,1,5,4,2,4,192,0
24,4.0,1,0,40,1,5,4,1,4,193,0
24,5.0,1,0,40,1,5,4,0,4,193,0
25,0.0,1,0,40,1,5,4,5,4,194,0
25,1.0,1,0,40,1,5,4,4,4,194,0
25,2.0,1,0,40,1,5,4,3,4,194,0
25,3.0,1,0,40,1,5,4,2,4,193,0
25,4.0,1,0,40,1,5,4,1,4,193,0
25,5.0,0,1,23,0,5,4,0,4,172,0
26,0.0,1,0,40,1,5,4,5,4,199,0
26,1.0,1,0,40,1,5,4,4,4,199,0
26,2.0,1,0,40,1,5,4,3,4,199,0
26,3.0,1,0,40,1,5,4,2,4,199,0
26,4.0,0,1,29,0,5,4,1,4,166,0
26,5.0,0,1,23,0,5,4,0,4,172,0
27,0.0,1,0,40,1,5,4,5,4,192,0
27,1.0,1,0,40,1,5,4,4,4,192,0
27,2.0,1,0,40,1,5,4,3,4,192,0
27,3.0,1,0,40,1,5,4,2,4,192,0
27,4.0,1,0,40,1,5,4,1,4,193,0
27,5.0,1,0,40,1,5,4,0,4,193,0
28,0.0,1,0,40,1,5,4,5,4,196,0
28,1.0,1,0,40,1,5,4,4,4,196,0
28,2.0,1,0,40,1,5,4,3,4,196,0
28,3.0,1,0,40,1,5,4,2,4,196,0
28,4.0,1,0,40,1,5,4,1,4,197,0
28,5.0,1,0,40,1,5,4,0,4,197,0
29,0.0,1,0,40,1,5,4,5,4,195,0
29,1.0,1,0,40,1,5,4,4,4,195,0
29,2.0,1,0,40,1,5,4,3,4,195,0
29,3.0,1,0,40,1,5,4,2,4,195,0
29,4.0,1,0,40,1,5,4,1,4,195,0
29,5.0,1,0,40,1,5,4,0,4,196,0
