method,seeds,final_clean_mean,final_rauc_mean,final_median_r80_mean,rauc_aulc_mean,best_rauc_mean
bgr,4,0.900000,0.566667,3.700000,0.566667,0.566667
bgr_coverage,4,0.900000,0.566667,3.700000,0.566667,0.566667
bgr_uniform_radius,4,0.900000,0.566667,3.700000,0.566667,0.566667
failure_only,4,0.900000,0.566667,3.700000,0.566667,0.566667
fixed,4,0.900000,0.566667,3.700000,0.566667,0.566667
td_loss,4,0.900000,0.566667,3.700000,0.566667,0.566667
uniform,4,0.900000,0.566667,3.700000,0.566667,0.566667
