method,seeds,final_clean_mean,final_rauc_mean,final_median_r80_mean,rauc_aulc_mean,best_rauc_mean
bgr,4,0.933333,0.889167,5.000000,0.881333,0.916667
bgr_coverage,4,0.933333,0.901667,5.000000,0.867083,0.929167
bgr_uniform_radius,4,0.941667,0.919167,5.000000,0.879167,0.922500
failure_only,4,0.933333,0.902500,5.000000,0.895500,0.928333
fixed,4,0.950000,0.901667,5.000000,0.878250,0.910000
td_loss,4,0.941667,0.899167,5.000000,0.874333,0.907500
uniform,4,0.933333,0.895833,5.000000,0.879833,0.914167
