dataset,target_radius,method,seed,final_rauc
blood-transfusion-service-center,2.0000,uniform,12,0.562500
blood-transfusion-service-center,2.0000,fixed,12,0.651500
blood-transfusion-service-center,2.0000,bgr,12,0.764000
blood-transfusion-service-center,2.0000,uniform,13,0.599000
blood-transfusion-service-center,2.0000,fixed,13,0.771500
blood-transfusion-service-center,2.0000,bgr,13,0.772000
blood-transfusion-service-center,2.0000,uniform,14,0.665000
blood-transfusion-service-center,2.0000,fixed,14,0.723750
blood-transfusion-service-center,2.0000,bgr,14,0.761000
blood-transfusion-service-center,2.0000,uniform,15,0.659750
blood-transfusion-service-center,2.0000,fixed,15,0.671500
blood-transfusion-service-center,2.0000,bgr,15,0.752250
blood-transfusion-service-center,2.0000,uniform,16,0.735750
blood-transfusion-service-center,2.0000,fixed,16,0.681750
blood-transfusion-service-center,2.0000,bgr,16,0.764000
blood-transfusion-service-center,2.0000,uniform,17,0.675750
blood-transfusion-service-center,2.0000,fixed,17,0.768000
blood-transfusion-service-center,2.0000,bgr,17,0.768000
blood-transfusion-service-center,2.0000,uniform,18,0.631250
blood-transfusion-service-center,2.0000,fixed,18,0.553750
blood-transfusion-service-center,2.0000,bgr,18,0.768000
blood-transfusion-service-center,2.0000,uniform,19,0.684500
blood-transfusion-service-center,2.0000,fixed,19,0.674250
blood-transfusion-service-center,2.0000,bgr,19,0.752250
blood-transfusion-service-center,2.0000,uniform,20,0.638000
blood-transfusion-service-center,2.0000,fixed,20,0.640250
blood-transfusion-service-center,2.0000,bgr,20,0.771250
blood-transfusion-service-center,2.0000,uniform,21,0.712500
blood-transfusion-service-center,2.0000,fixed,21,0.733500
blood-transfusion-service-center,2.0000,bgr,21,0.750000
blood-transfusion-service-center,2.0000,uniform,22,0.666000
blood-transfusion-service-center,2.0000,fixed,22,0.632750
blood-transfusion-service-center,2.0000,bgr,22,0.782500
blood-transfusion-service-center,2.0000,uniform,23,0.747750
blood-transfusion-service-center,2.0000,fixed,23,0.744500
blood-transfusion-service-center,2.0000,bgr,23,0.769500
blood-transfusion-service-center,2.0000,uniform,24,0.711250
blood-transfusion-service-center,2.0000,fixed,24,0.749000
blood-transfusion-service-center,2.0000,bgr,24,0.768000
blood-transfusion-service-center,2.0000,uniform,25,0.752500
blood-transfusion-service-center,2.0000,fixed,25,0.751500
blood-transfusion-service-center,2.0000,bgr,25,0.782500
blood-transfusion-service-center,2.0000,uniform,26,0.608500
blood-transfusion-service-center,2.0000,fixed,26,0.731750
blood-transfusion-service-center,2.0000,bgr,26,0.764000
blood-transfusion-service-center,2.0000,uniform,27,0.707500
blood-transfusion-service-center,2.0000,fixed,27,0.690500
blood-transfusion-service-center,2.0000,bgr,27,0.756000
blood-transfusion-service-center,2.0000,uniform,28,0.685750
blood-transfusion-service-center,2.0000,fixed,28,0.760000
blood-transfusion-service-center,2.0000,bgr,28,0.760250
blood-transfusion-service-center,2.0000,uniform,29,0.680500
blood-transfusion-service-center,2.0000,fixed,29,0.635500
blood-transfusion-service-center,2.0000,bgr,29,0.764000
climate-model-simulation-crashes,2.0000,uniform,0,0.921296
climate-model-simulation-crashes,2.0000,fixed,0,0.854828
climate-model-simulation-crashes,2.0000,bgr,0,0.895833
climate-model-simulation-crashes,2.0000,uniform,1,0.879630
climate-model-simulation-crashes,2.0000,fixed,1,0.920635
climate-model-simulation-crashes,2.0000,bgr,1,0.879299
climate-model-simulation-crashes,2.0000,uniform,2,0.907077
climate-model-simulation-crashes,2.0000,fixed,2,0.888228
climate-model-simulation-crashes,2.0000,bgr,2,0.915344
climate-model-simulation-crashes,2.0000,uniform,3,0.905754
climate-model-simulation-crashes,2.0000,fixed,3,0.845238
climate-model-simulation-crashes,2.0000,bgr,3,0.915344
climate-model-simulation-crashes,2.0000,uniform,4,0.874008
climate-model-simulation-crashes,2.0000,fixed,4,0.910384
climate-model-simulation-crashes,2.0000,bgr,4,0.915344
climate-model-simulation-crashes,2.0000,uniform,5,0.897156
climate-model-simulation-crashes,2.0000,fixed,5,0.903770
climate-model-simulation-crashes,2.0000,bgr,5,0.915344
climate-model-simulation-crashes,2.0000,uniform,6,0.903108
climate-model-simulation-crashes,2.0000,fixed,6,0.900463
climate-model-simulation-crashes,2.0000,bgr,6,0.915344
climate-model-simulation-crashes,2.0000,uniform,7,0.853836
climate-model-simulation-crashes,2.0000,fixed,7,0.901124
climate-model-simulation-crashes,2.0000,bgr,7,0.915344
climate-model-simulation-crashes,2.0000,uniform,8,0.830357
climate-model-simulation-crashes,2.0000,fixed,8,0.875000
climate-model-simulation-crashes,2.0000,bgr,8,0.882606
climate-model-simulation-crashes,2.0000,uniform,9,0.874339
climate-model-simulation-crashes,2.0000,fixed,9,0.858466
climate-model-simulation-crashes,2.0000,bgr,9,0.889550
climate-model-simulation-crashes,2.0000,uniform,10,0.883267
climate-model-simulation-crashes,2.0000,fixed,10,0.910053
climate-model-simulation-crashes,2.0000,bgr,10,0.915344
climate-model-simulation-crashes,2.0000,uniform,11,0.899802
climate-model-simulation-crashes,2.0000,fixed,11,0.887897
climate-model-simulation-crashes,2.0000,bgr,11,0.889220
climate-model-simulation-crashes,2.0000,uniform,12,0.897156
climate-model-simulation-crashes,2.0000,fixed,12,0.898479
climate-model-simulation-crashes,2.0000,bgr,12,0.911045
climate-model-simulation-crashes,2.0000,uniform,13,0.896495
climate-model-simulation-crashes,2.0000,fixed,13,0.844577
climate-model-simulation-crashes,2.0000,bgr,13,0.915344
climate-model-simulation-crashes,2.0000,uniform,14,0.899140
climate-model-simulation-crashes,2.0000,fixed,14,0.886243
climate-model-simulation-crashes,2.0000,bgr,14,0.910384
climate-model-simulation-crashes,2.0000,uniform,15,0.892857
climate-model-simulation-crashes,2.0000,fixed,15,0.874669
climate-model-simulation-crashes,2.0000,bgr,15,0.893188
climate-model-simulation-crashes,2.0000,uniform,16,0.865410
climate-model-simulation-crashes,2.0000,fixed,16,0.861442
climate-model-simulation-crashes,2.0000,bgr,16,0.902447
climate-model-simulation-crashes,2.0000,uniform,17,0.874669
climate-model-simulation-crashes,2.0000,fixed,17,0.909722
climate-model-simulation-crashes,2.0000,bgr,17,0.911706
climate-model-simulation-crashes,2.0000,uniform,18,0.874669
climate-model-simulation-crashes,2.0000,fixed,18,0.880622
climate-model-simulation-crashes,2.0000,bgr,18,0.896495
climate-model-simulation-crashes,2.0000,uniform,19,0.867394
climate-model-simulation-crashes,2.0000,fixed,19,0.852844
climate-model-simulation-crashes,2.0000,bgr,19,0.912368
climate-model-simulation-crashes,2.0000,uniform,20,0.856481
climate-model-simulation-crashes,2.0000,fixed,20,0.897156
climate-model-simulation-crashes,2.0000,bgr,20,0.914683
climate-model-simulation-crashes,2.0000,uniform,21,0.797288
climate-model-simulation-crashes,2.0000,fixed,21,0.854828
